אב בחכמה,חכם/למדן
בית אב,משפחה/מקור/יסוד
זכות אבות,יחס מיוחד שמקבל אדם בגלל הוריו
אבות אכלו בוסר ושיני בנים תקהינה,האבות חטאו והבניהם משלמים על החטאים הללו
משעה אבות סימן לבנים,הילדים ממשיכים את מסורת הוריהם
אֵב,פריחה/צמיחה
באבו,בצעירותו בעודנו רך בשנים
אבדה דרכו, אינו מוצא את הדרך הנכונה
אבדה לו עולמו, הכל נפל עליו/כל תקוותיו התמוטטו
אבד עליו הכלח, התיישן/עבר זמנו
אבדו עשתונותיו,התבלבל לחלוטין/איבד שליטה
אבדון,חורבן/כינוי לגינום
אבה/אוה,רצה/הסכים
אביך,מעורפל/לא צלול
אֵבוּס,שוקת/כלי גדול להאכלת חיות
ידע שור קנהו וחמור אבוס בעליו,שרוצים לומר למשהו שמכירים אותו טוב מאוד
אָבוּס,מפוטם/שמן בצורה מפלצתית
אבוקה,לפיד
איבחה,שוונג/תנופה/חורבן/ברק/ניצוץ
אביון,דל/עני
אביונה,אורגזמה/יצר מיני
אבן נגולה מעל ליבו,מועקה קשה ירדה מעליו/הוקל לו מאוד
אבן אכף,משקולת להנחה על ניירות
אבן בחן,קריטריון/אמת מידה להערכת דברים
אבן יסוד/פינה,אבן הראשונה ממנה מתחילה הבנייה/עיקר/יסוד
אבן נגף,מכשול/תקלה
אבן הראשה,האבן במרכז הקשת/דבר יסודי ועיקרי שאין בילתו
אבן שואבת,מגנט/מרכז תשובת הלב
כאבן שאין לה הופכין,חפץ שאין בו שימוש
אבנים שחקו מים,הכל ניתן להשגה אם מתמידים
אבנט/אזור,חגורה רחבה
אָבְנַיִם,כלי עבדתו של הקדר/המקום בו מושבים את האישה בזמן הלידה
אבסטרקטי,מופשט/חסר צורה מוגדרת
אבק פורח,כינוי לדבר נטול ערך
אבק אדם,אספסוף/ביטוי בו משתמשים בכדי לזלזל בהמון אדם
הטיל אבק בעיניו,הטעה אותו ע"י פעולות ראווה
אברה,כנף של ציפור
אברך,תלמיד ישיבה/אב-רך
אברקים,מכנסיים רחבים מאוד
אגב אורחא,דרך אגב/בהזדמנות
אגבי,מקרי/בדרך אגב
אגד,תחבושת/צרור ירקות או תבואה(אגד שיבולים)
אגד מדבק/אספלנית,פלסטר
אגו,האני של האדם
אגוצנטרי,אדם המרוכז בעצמו
אגן,קערה/סגל/בקעה/אזור המפשעה
אגיטציה,תעמולה
אגל,טיפה/רסיס טיפה
אגרונומיה,תורת החקלאות
אגרן,אספן
אד הוק,משהו ספיציפי
ועדת אד הוק,ועדה למשהו ספיציפי
אדוה,הגלים הקטנים על פני הים
אדוק,מסור/צמוד/קשור
אדם מועד לעולם,כל אדם אחראי למעשיו
אדם קרוב אצל עצמו,אסור לאדם להעיד נגד עצמו/כל אחד דואג לענייניו הפרטיים
האדים/הלבין את פניו, בייש אותו הכלימו
אדם מן הישוב,אדם מתורבת/משכיל
אדמת מריבה,שטח ארץ שנמצא תחת סכסוך
אדמת בור,אדמה בתולה/אדמה פורייה טובה
אדמיניסטרטור/אמרכל,מנהל
אדן,בסיס/יסוד
אדנות,סמכות/מרות
אדר,פוחלץ/גלימה
אדרה,עצם דג
אדרת/אדר,גלימה/מעיל עליון רחב
אותה הגברת בשינוי אדרת,אותו דבר בשינוי קל/רק עטיפתו החיצונית שונה ותוכנו לא השתנה
אדרבה אדרבה,יתר על כן/עוד יותר אפילו
אילת אהבים,כינוי לאישה אהובה
אהבה אפלטונית,אהבה שאינה חושנית
אהדדי,זה על זה/כאחד
אובד עצות,לא יודע מה לעשות/חסר תקווה
אובלי/סגלגל,בעל צורה עגולה(ביצה)
אוב,כישוף/שד
העלה אוד,עשה סיאנס/דיבר על דברים ממזמן
אובליגטורי,מחייב/כופה/כובל
אוד,גחל/גזיר עץ שעוד לא נשרף כולו
אוד מצל מאש,ניצול/כינוי למי ששרד מהתופת
אוד עשן,אבק אדם/כינוי לאדם שממנו לא יצמח עוד דבר
אוטודידקט,אחד שלומד בעצמו
אוטונומיה,שלטון עצמי
אוטוסוּגֶסְטְיה,שכנוע עצמי
אוטופיה,רעיון דמיוני שלא יכול להתקיים במציאות
אוטוקרטיה,שלטון יחיד
אוטוריטה,סמכות/רשות
אוטרקיה,הסתפקות עצמית
אויל,שוטה/טיפש
אֻכַּל,נאכל
אוליגרכיה,שילטון ע"י מיעוט או שלטון של בעלי ההון
און,כוח הגברא/כוח
חוסר/אפס/אין אונים,אמפוטנציה/חוסר כוח/רפיון
ראשית אונו,הבן הבכור שלו
אָוַנְגַּרְדִי,מהפכני/חלוצי
אונקל,וו/קרס
אנקיה,מידת משקל קדומה
אופורטוניזם,הסתגלות
אופן חמישי לעגלה,משהו מיותר
אופנסיבה,מתקפה/התקפה
אצה לו השעה/הדרך/היום,אין לו פנאי/חייב לרוץ
אוקסידציה,חמצון
אורקרינה,כלי נשיפה עממי
אורות וצללים,חסרונות מול יתרונות
אור פנים,מאור פנים/יחס של רצון וחיבה/זיו פנים
אוּר,אש/להבה
אורבני,עירוני
אורגני,שייך לגוף החי
אורחה,אורח/דרך/שיירה
אורחה דעלמא,מיתה/מוות
אָרְחוֹ וְרִבְעוֹ,דרך חייו/צורתת ההתנהלות שלו
אורטור,נואם/רטוריקן
אורים ותמים,רבני חושן/המקור המוסמך ביותר לנושא
אורינות,לימוד/קרוא כתוב
בר אורין,תלמיד/בן תורה
אורינטציה,התמצאות/חוש כיוון
אורלוגין,שעון קיר גדול
אורקל,נביא
אורתודוקס,חסיד/אדם אדוק בדת
אושה/איוושה,רשרוש/רעש קל
באותות ובמופתים,בראיות מכריעות/בהוכחות שאין לערער עליהן
אות קין,תעודת קלון/סימן גנאי לאדם שעשה מעשה רע
אותיות של טל ומטר,אותיות קטנות
אותיות של קידוש לבנה,אותיות ענקיות
מני אז,ממזמן/מלפני הרבה הרבה זמן
אזלת יד,רפיון/חולשה/חוסר יכולת לבצע משהו
אזמל,סכין מנתחים/מפסלת צרה לפיסול
כבד אוזן,חירש
אזנים לכותל,ביטוי אשר מציין שקשה לשמור על סוד
אזר חיל/אזר מָתְנָיו,התחזק/התגבר/הרהיב עוז
התאזר בסבלנות,היה סבלני/התאפק
אחד בפה ואחד בלב,התנהגות דו פרצופית/צביעות
אחוז תזזית,באמוק/בטירוף,ללא יכולת להירגע
אחז בקרנות המזבח,מבקש מפלט/תופס מחסה
אחז את החבל בשני ראשיו,ניסה לעשות שי דברים בו זמנית
אחז את השור בקרניו, ניגש ישר לעניין
אחזו בלמוס,היא בדודא/נתקף בחשק עז למשהו
שנים אוחזים בטלית,שנתיים שמתווכחים על בעלות של משהו
נאחז בקש,מנסה לסמוך על משהו לא יציב
כִּלְאַחַר יָד,דרך אגב/מבלי להתכוון
אחרית דבר/אפילוג,סיום/חלק סיום
אחריתו מי ישורנה,לא ניתן לדעת מה יקרה בסופו של דבר,לא ידוע מה יהיה הסוף שלו
אטב,מהדק משרדי
אטליז,חנות למכירת בשר
אִטֵּר,שמאלי/בעל יד שמאל דומיננטית
טרופיה,ניוון/התנוונות/הילחשות
איבה,שנאה עזה
אֵיד,צרה/משבר/אסון
שמחה לאיד,שמחה וצחוק מצרות של אחרים
אידאה,רעיון/מושג
אידיום,ניב שאינו ניתן לתרגם לשפה אחרת(על אחת כמה וכמה)
אידיליה,שלום בית/שלווה/חיים ללא מריבות
אִיּוּן,שלילה/ביטול
אילוסטרציה,ציור בספר/תמונה להמחשה
איוש,הצבה/שיבוץ
אילת השחר,קרני האור הראשונות בבוקר
אילוזיה,חזון תעתועים
נתלה באילנות גבוהים,אדם המסתמך על אנשים גדולים או מצטט אותם
אילני סרק קולם הולך, אנשים שמדבר הרבה ועושים כלום(אסתרא בלגינא קיש קיש קריא)
אסתרא בלגינא קיש קיש קריא,אנשים שמדבר הרבה ועושים כלום(אילני סרק קולם הולך)
אִימָנֶנְטִי,פנימי מהותי
אמפולס,דחף רגעי
אמפרוביזציה,אלתור
אימפריאליזם,שיטה מדינית החותרת לשליטה במדינות בכדי לנצל את אוצרותיהן
מאמתי,ממתי?/באיזה זמן?
כל אימת ש,בכל זמן ש...
אמץ ידי משהו, עודד/חיזק אותו
אין סכין מתחדדת אלא בירך של חברתה,אדם יכול ללמוד ולהחכים רק עם שותפים
אין פוצה פה ומצפצף,אף אחד לא מסוגל להתנגד
אין נקי,אף אחד לא חף מפשע/כולם אשמים
אין פרי בלא אילן,לכל דבר סיבה ומקור
אינדיגו,(נשים)צבע בין כחול לסגול
אינטונציה,שינויים בטונים של הדיבור
אינטגרלי,בלתי נפרד
אינטואיציה,רחשי הלב/התחושה שלפני ההבנה
אנטרוברטי,מוחצן
אינטריגה,סכסכנות/רכילות רעה
אינסטרומנטלי,מוזיקה ללא מילים
אינסומניה,הפרעת שינה
אינפלציה,הצפה/שקיימם יותר מידי שטרות במדינה
אינפנטילי,ילודתי
אילוח,אינפקציה/זיהום של פצע
אינפרא,מתחת/כמו אינפרא אדום
אינקוגניטו,בעילום שם/באלמוניות
אינרציה,התמדה/כל גוף נשאר במקומו או במסלולו
אינרטי,אדם אדיש לכל
אֵיפה,מידת נפח עתיקה
איפה ואיפה,משל ליחס בלתי שווה בין אנשים שונים
איפול,חסיון/הסתרת פרטים על פרשה מעיני הציבור
איפכא,ההפך/ניגוד
איפכא מתסברא,ההפל מהסתבר
אין הנתחום מעיד על עסתו,אדם לא יכול לתת ביקורת על עבודתו
אין חמור נוהק אלה מתוך כפיפה של חרובים,אנשים חוטאים מכיוון שיש להם כל כך הרבה טוב ושפע
אין נביא בעירו,אדם שהגה רעיון, לא יוערך בסביבתו הקרובה אלא במרחקים
