גב,גומה/חור בסלע או בהר
גוב,מערה/בור
גוב אריות,מערת אריות
גבאי,האדם שמנהל את ענייני בית כנסת
גיבב,ערם/צב
גיבב דברים,דיבר המון שטויות
גבבה,פסולת הנורת מהקציר
גבה הר ביניהם,נפרדו (פחחח חוצץ)
גבה ליבו,התפאר/התגאה
גבה לב/אף/רוח,יהירות/שחצנות
החלונות הגבוהים,האחראים/הפקידות הגבוהה
דבר גבוהה גבוהה,דיבר ביומרנות גדולה/בגאווה
גיבור רוח,אדם המצטיין בתכונותיו הנפשיות
הגיע לגבורות,הגיע לגיל 80
גיבח,קירח
גבחת,קרחת בחלק הקדמי של הראש הצמוד למצח
גבין,גבה אחת
גביר,אדון/מושל/תואר כבוד לאדם רם מעלה
גיבל,לש/ערבב קמח
גבלול,בצק
גבנון,גיבנת
גיבר חילים,אימץ כוחו
חילופי גברים,חלופי תפקידים אצל נושאי משרות גבוהות
גד,מזל
גדיד,קטיף תמרים
גדולות ונצורות,דברים גדולים ומפתיעים
גידולי בעל,צמחים שאינם מצריכים השקייה מלכותית
גידולי שלחין, צמחים
גידם,אדם שידעו קטועה עד המרפק
גידע,אדם שידו קטועה עד הכתף
