גידוף,קללה/נאצה/חרוף
גדוש,מלא עד גדותיו
הגדיש את הסאה,הגזים
אם אין גדיין אין תיישים,אם לא נחנך ילדים לא יצמחו גדולי הדור
גדידה, חתך עמוק
גדיל,ציצית
הגדיל עליו עקב,בעט בו
גדיש,ערימת תבואה
גהה,בריאות
גהות,היגיינה
גהוק,גרפס
יש דברים בגו, לא לחינם נעשה הדבר
גוי,נוכרי/אומה
גוויה,גופה/פגר
גויל,אבן בלתי מסותתת/קלף עור גס/דף בספר ישן
גויעה,גסיסה
גולל,אבן עגולה שבימי קדם היו סוגרים בה את מערות הקברים
סתם את הגולל,ביטל לחלוטין/חיסל כל אפשרות ל....
גולת הכותרת,הדבר הכי חשוב
בעל גוף,שמן/מגושם
גור,בעל חי צעיר
גְוַרְדְיָה,חיל המשמר
גז,צמר שנגזז מהצאן
גזוזטרה,מרפסת/בלקון
גיזום,כריתה/זמירת עניפם ישבים
גזית,סיתות/אבנים מסותתות לבניה
גזל את מנוחתו, הדאיג או הטריד אותו
גוזמה,הפרדה/תאור דבר בצורה מופרזת
גזיר,חתיכה של עץ/שבב
גזירה,הסקת מסקנה/היקש
