דא,זו
דא עקא,זו המועקה החלק הרע בדבר,זה עקא זה נשמע כמו צעקה
דאב,כאב/נעצב מאוד,כשהשמפו של דאב נגמר כואב לך ועצוב לך
לדאבונו,לצערו הרב
לא דובים ולא יער,לא היו דברים מעולם
דיבוב,לגרום למשהו לדבר
עמד בדבורו,שומר הבטחתו מקיים דבריו
אנוס על פי הדיבור,קשור וכבול על ידי הבטחה או התחייבות
דביר,קודש הקודשים/החדר הפנימי בבית המקדש
דַּבֵלָה,גוש של תאנים יבשות
דבלול,חוט היוצא מהחולצה/קצה השיער,שוונץ
דבק בידו הדבר,גנב את הדבר/לקח דבר באיסור
דברה לשונו לחיכו,נאלם/לא יכול אפילו להניע את לשונו בכדי לדבר
דבקה נפשו,אהב בכל ליבו
רגליים לדבר,יש יסוד לכך/הדבר נראה נכון 
דבר יום ביומו,שגרה/חיי היום יום
דבר שפתיים,מלל חסר משמעות,כמו שדג עושה
דברים בעלמא,שיחה סתמית/פטפוט חסר שחר
דברים כהוויתם,דברים כמו שהם
דין ודברים,טענות/תביעה
דברי בלע,חירופים/גידופים והשמצות
דברי כיבושין,אמירות תוכחה ומוסר
דברי קילוסין,מילים של שבח והלל,קילו של סינים
דבר על ליבו,דיבר אל ליבו והקסימו/פיתה
דיבר סרה,סיפר בגנות/אמר דברים רעים,סרה-סטייה מדרך הישר,השמצה
דבר אל העצים,אין קול ואין עונה
דבר וחלה תחת לשונו,הוא מדבר חלקות ומחמאות,דברים נעימים ומתוקים
דבר דבור על אפניו,דבר המתוכנן עד לפרט האחרון,שיוצאים לטיול עם האופנים חשוב לתכנן את הדרך עד הפרט האחרון
לא מדובשך ולא מעוקצץ,איני חפץ בטובתך או ברעתך,אני לא רוצה את הדבש או העקיצה בטוסיק
דגי רקק,כינוי ומשל לאנשים קטנים ופחותי ערך,כמו מקק חייה סתמית ומגעילה
חרת על דגלו,הציג לו כמטרה
קרא אל הדגל,דרש להתיחיצב לצבא,We Need You על רקע של הצבא ארצות הברית
דגל את נשקו,נציג את נישקו,המצב בו כואב הידיים ורוצים שהדגל יעלה יותר מהר
דגנרט,אדם מנווטן ולקוי באחד מאיבריו או תכונתיו,דמיינו זקן אומר לכם את זה,צוחק מי שצחוק
דגנרציה,התנוונות/דלדול
