דדוקציה,דרך חשיבה מהכלל אל הפרטים
דֶה יוּרֶה,על פי ההלכה/על פי הדין,כמו פרק היורה,עובדים לפי החוקים
דֶה-פַקְטוֹ,למעשה,בדיעבד,אפשר לומר שהוא דפק אותו
דואליזם,שניות/כפילויות,דו-שתיים
דוברה,רפסודה/אסדה
דוגית,סירת עזר קטנה להעברת נוסעים,כמו חוף דוגית שבכינרת
דּוֹגְמָה,עיקר/הנחה מקובלת ומסכמת שאין להרהר עליה,דוגמה אבל קבועה שאי אפשר להחליף
דּוֹגְמָטִי,מבוסס על דוגמות/שאין להרהר אחיו ויש לקבלו
דווי,כואב/מדוכא,על ערס דווי-גוסס
דוללה,פקעת של חוטים
דוּמה,דממה,דקת דוּמיה
יורדי דוּמה,מתים/נפטרים,יורדים למטה ונהיים בדומיה
בנידון דידן,בענייננו,יש רעש ומשהו צועק בנידון דידן!!!!(נידן)
דוקטרינה,שיטה/תורה/דעה,דמיינו את הסופה קטרינה, והיא בשיטתיות מורידה עיר שלמה,יש תורה להתמודד נגד סופות
דַּוְקָן,דייקן/עושה מעשה של דווקא,ילד קטן שנידבק בשביל להציק/או דווק בזמן
דור הפלגה,דור לאחר המבול/תקופת הפילוד,במבול הוא הפליגו אז זה הדור שבא אחרי
דורון,מתנה
דש בעקביו,זלזל,משהו שכל הזמן מזכיר לכם שכבר דיברתם על הנושא והוא גרוע
דחה אותו בקש,פטר אותו בתשובה שאין בה ממש
דחי אל דחי,מכישלון לכישלון,כמו בשיר של הדג נחש "הכל הולך מדחי אל דחי דמעה נוצרת מהעין, מתגלצ'ת על הלחי"
בדחילו,ביראה/פחד,איך העורבים חושבים על הדחליל
בדחילו ורחימו,ביראה ובאהבה,בזהירות ויראת כבוד/תוך חששות רבים
דוחן,סוג של דגן/תבואה,דמיינו דוכן של דנים
דחק את השעה,נחפז יותר מידי,משהו לקח שעה ודחף לה המון דברים
דחק לו שעתו,היה בתקופה של מצוקה,נגמר לו הזמן וזהו יוצאים לשטח והמג"ד יזיין אותו
בדוחק,בקושי,תנסו לדחוק ציוד לתיק טיולים מלא-קשה אהה?
דטרמיניזים,תורת הסיבות,מינס Means סיבה
עד בלי די,הרבה מאוד,סבתא מציע אוכל עד בלי די
די לחכימא ברמיזא,די לחכם ברמז
די לצרה בשעתה,אין טעם לדאוג לצרה שעדיין לא הגיעה
לדידי,לדעתי,דידי הררי תמיד אומר את דעתו ברדיו
לגבי דידו,לגביו/באשר אליו
דיאגנוזה,אבחנה
דיאגרמה,תרשים/שרטוט,סרטט לי דיאגרמה של...
דיאלקט,ניב/בת לשון,דיסלקט וניב לא הולכים ביחד
