דיאקריטי,המשמש להבחנה בין דברים/מבחין,זה מחלה קריטית וצריך לאבחן אותה מהר
דיביזיה,יחידה צבא גדולה,כמו דיביזיה הסורית
דידקטיקה,תורת ההוראה,איבחון דידקטי
דידקטי,מתוך תורת ההוראה/לימודי
דיוטה,קומה בבניין
ירד עד לדיוטה התחתונה,היגע לשפל המדרגה
דיוקן,מתאר פנים של אדם
דיותה,כלי לדיו/קסת,תא דיו
דיכוטומיה,התחלקות לשנתי קבוצות
דילטנט,חובבן
דן אותו לכף זכות,מצב לו צד זכות/פירש את מעשיו לטובה
דן אותו לכף חובה,הרשיע אותו/האשימו
דן אותו ברותחים,האשים אותו קשות
בעל דין,כל אחד משני הצדדים הבאם אל מול השופט
מידת הדין,בהתאם לצד המוחלט
לפנים משורת הדין,הקלה בעונשו של נאשם מתוך רחמים
די פרוטה כדין מאה,אין להקל בדבר
יקוב הדין את ההר,אין לוותר ולרחם בדין
לית דין ולית דין,איש הישר בעיניו יעשה
דינא דמלכותא,דיני מלוכות
דינמו,מכשיר ההופך תנועה לחשמל
דינמי,בן תנועה/לא מספיק לזוז
בישל דיסה,גרם להסתבכות/ערבב ובלבל בדברים,כמו שנאמר בשביל להיות שקרן גדול צריך להיות עם זכרון גדול
דיסוננס,חוסר הרמוניה
דיסקורסיבי,מחשבתי
דיסציפלינה,משמעת
דיפוזיה,פעפוע,חדירה איטית של חומר מסויים
דיצה,שמחה ששון
דיקטט,צו/הכתבה
דיקטטור,רודן
דיקציה,חיתוך הדיבור/מבטא
דיר,מבנה זמני לצאן/חזירים
דירקטור,מנהל
דירקטוריות,מנהלה
דירקטיבה,הנחיה,הוראה מפורשת שעל פיה יש לפעול ולהתנהג
