דפטיזם,תבוסתנות
דופי,פגם,דפקט
ללא דופי,מושלם
נתן בו דופי,פגם בו/גרם לו לפגם,עשה בו דפקט
דפיציט,גרעון/הפסד
דפלציה,צמצום כמות הכסף הישאלי בתוך המדינה,ההפך מאינפלציה
דפנסיבה,הגנה,Defence
דיפתר,מחברת,פעם היו מחברות חומות שהיה כתוב חברת דִפְתָּר
דצנטרליזציה,ביזור/ביטול השלטון המרכזי,דה-זה לא צנטרל-מרכז
דק בשר,רזה/כחוש
דק טעם,בעל טעם מפותח המסוגל להבחין בין הדקויות,משהו חותך את הבשר דק דק וטועם כל שכבה
בהמה דקה,כבשים ועזים
דקדוקי עניות,דיוק מופרז בפרטים,משהו עני אז הוא בודק כל דבר לעומק בפרטי פרטים
דקדוקי אניות,מנהגיו וגינוני של האגואיסט,החושב רק על ה"אני"
דקדנס,ירידה/שקיעה,המילה הגיע משקיעה של אימפריות
הקפיד עימו כחוט השערה,דייק מאוד
דקורטיבי,תפאורתי
דקלרטיבי,הצהרתי,Declarative
דראון,חרפה/גנאי/תועבה,דוקטור און-רופא שמדבר על מין,איזה מגעיל!!
לדראון העולם,חרפה נצחית
דרבון,דורבן לבקר/בליטה חדה
דרגש,ספה או ספסל נמוך
דרדס,נעל בית
דרדק,ילד
קרא דרור,שחרר/הוציא מעבדות לחירות
דרור אחד לא מבשר את האביב,הופעה חד פעמית לא מלמדת על הכלל
דרך עוז,התמלא באומץ
דרך כוכב,נתגלה כישרון חדש
דרך על במותיו,ניצח אותו/התגבר עליו
כדרכו בקודש,כמנהגו תמיד,קודש הקודש זה דבר שאי אפשר לשנות
דרך המלך,דרך ראשית/מרחב/קווחה/מצב שיש בו חופש פעולה
אם הדרך,פרשת דרכים
אכל מפרי דרכו,שולם לו כגמולו
הלך בדרכו,עשה כמעשיו/נהג כמותו
דרש בגנותו,דביר עליו דברי גנאי
