טאבו,איסור מוחלט, חרם
טאבולה ראסה,לוח חלק, דימוי למי שאינו יודע דבר בנושא
טֵאוּט,ניקוי, טאטוא במטאטא
טבור,פופיק,אמצע
טבין ותקלין,כסף מזומן
טבעת פוליקראטס,דבר שנגזר ונחרץ, ואין דרך לשנותו
טברנה,פונדק דרכים
טוב כלב חי מאריה מת,אימרה בשבכה של החיים ולא גם חיי סבל
טובין,נכסים ורחוש שניתן להעביר ממקום למקום
טובל בשמן רגלו,חי ברווחה
טובל ושרץ ידו,אדם החוזר בתשובה אך לא בלב שלם
הֵיטִיב (אֶת) לִבּוֹ,סעד את ליבו בשמחה/ הינה עצמו במאכל ובמשתה,
טוגה,גלימה ארוכה
טָוָה  זָהָב,עשה עסקים מצוינים/ הצליח מאוד בעסקיו
טוּזִיג,פיקניק/ סִבֹּלֶת/ סעודת רעים,
טוֹטָף,נרתיק קטן שמצמידים ליונת דואר
טוֹטֶם,אליל השבט/ עמוד ועליו פסל של חיה קדושה אצל האינדיאנים,
טול קורה מבין עיניך,בדוק את עצמך לפני ביקורת על אחרים
טולרנטי,סובלני
טוֹנוּס, מתח השרירים הטבעי
טוֹמוּס,צרור/ אגד/ כרך
טוּסִית,מטוס קטן
טוֹפּוֹגְרַפְיָה,תורת פני הקרקע/ תאור גרפי של תבליט האדמה
טוֹפָּז,אבן טובה/ בעלת גוון ירקרק
