כאבן שאין לה הופכין,דבר או אדם שאין דורש להם
כבד פה/לשון,מגמגם
כִּבּוּד,ניקוי,טאוט
כבודה,מטען,רכוש
כבול,אדמה לא פורייה
כבוש,1.לחוץ ודחוק,2.סלול ומיושר,3.מוסתר,4.משומר בחומץ/מי מלח/שמן
כּוּבֵן,רכס,חיבר
כבָרָה,מסננת
כִברת דרך,מרחק מסויים
כבש,מישור משופע להקלת העלייה או הירידה
כבש פניו בקרקע,התבייש, נבוך
כבשת הרש,הדבר היקר והאחרון שנותר לאדם וגם אותו רוצים לגזול
כַּד,מעוגל ולא חד
כדבעי,כראוי
כָּהָה,נחלש רפה
כִּהָה,גער, נזף
כּהתָה רוחו,פג אומץ ליבו
כורם,בעל כרם/עוסק בעבודת הכרם
כותרת,החלק העליון והמקושט בעמודי הבניין
כזה ראה וקדש,עשה בדיוק כך
כזית,מעט, קמצוץ
כִחֵד,הסתיר העלים
כחומר ביד היוצר,דבר/איש הנתון כולו בידי מישהו העושה בו ככל העולה ברוחו
כחמור עולה בסולם,מעשה בלתי אפשרי
כחרס נשבר,דבר חסר ערך, אפסי
כחש,מרמה, שקר
