לֵאֶה,עייף/מותש,דודה לאה היא עייפה כבר
לָאו,לא,לאו דווקא
לֵאוּת,עייפות
לָאַט,דיבר בלחש,
לְאַלְתַּר,מיידית/תכף ומייד
לְאֻמָּנוּת,לאומיות מופרזת/קנאית וקיצונית
לֵב עָרֵל,טמטום/עיקשות/אטימות הרגש
לֵברַךְ,•צנוע/צייתן •רחמן ורגשן
בְּלֵב וָלֵב,במרמה/בחוסר כנות
לבאר,להסביר/להפוך נושא מסתום ולא מובן לנהיר
לִבָּה (ליבה),•לב •מרכז/גרעין
לִבּוּי,•הגדלת אש • בהשאלה שלילית: הרחבה או גירוי (ליבוי היצרים או ליבוי השנאה)	
לִבּוּן,•ניקוי דבר עד שהוא הופך להיות לבן •הלהטת מתכת עד היותה לבנה •בירור/החוורת בר והבהרתו
לְבוֹנָה,סוג של שרף אשר שימש לקטורת,מור בשמים ולבונה...
לָבּוֹרַנְט,עובד מעבדה
לבירינט,מבוך
לָבִיא,אריה,ואשתו הלביאה
לבילי,לא יציב(ההפך מ סְטַבִּילִי)
לְבַל,בכדי שלא/למען לא
לַבְלָר,פקיד/מזכיר	  
צַוָּארוֹן לָבָן,אצילים ובעלי הון/אלה הרי לא מלכלכים את הצווארון/ישנן גם עבירות צווארון לבן
לְבָנָה,ירח	  
לַבְקָן,אדם ללא פיגמנטים/שצבע עורו ושיערו לבן וצבע עינייו אדום
לָגוּנָה,לשון ים שמימיה רדודים,הלגונה הכחולה	
לָגִין,כלי קיבול לנוזלים/כד
