לֶגָלִי,חוקי/מותר על פי החוק	
חֹצֵב לַהֲבוֹת אֵשׁ,נלהב ומלהיב ביותר,אדם אשר חוצב להבות אש חוצב באופן נמרץ וגורם ללהבות
לַהַג,דיבורים נבובים וריקים מתוכן
להד"ם,לא היו דברים מעולם
הִתְלַהְלֵהַּ,התהולל/השתובב/השתעשע
לַהַק, •להקה/קהילה/קהל •קבוצת עופות/צנחנים או מטוסים	
לְוַאי, •דבר טפל/נספח/נלווה •הלוואי,תופעת לוואי
לוֹגוֹס,מילה/דבר/מאמר/מושג
לוּדָר,גלדיאטור,לובטאר אורק לוחם
לוּז, •עץ השקד •יסוד/תמצית/כוח ניצחי ועיקרי	
לוּחַ חָלָק, •כינוי לתינוק •הדיוט/מי שאינו יודע דבר בתחום מסוים •טאבולה ראסה
כָּתַב (חרש) עַל לוּחַ לִבּוֹ,השתדל ועשה מאמצים בכדי לזכור דבר
לוֹט,מכסה, כיסוי, עטיפה
לוֹיָאלִי,נאמן הוגן וישר
לוֹכְסָן,הסימן "/" סלש
לוּלְיָנִי,ספירלי/ברגי/ספירלי/כמו חריצי התברוגת בבורג
לֶבַנְט,מזרח
לֶבַנְטִינִי,•בן המזרח התיכון •כינוי לאדם שהשכלתו ונימוסיו אינם אמיתיים/בלא תרבות אמיתית
להסמיך,•לעבות/להפוך לסמיך •להשעין על משהו (סמוך זה משענת) 
לוּנְטִית,אֲלוּנְטִית/מגבת
לוֹעֵז,מדר בלעז/מדבר בשפה זרה
לוֹעֲזִי,נוכרי/זר/ששפתו זרה	
לוֹקָלִי,מקומי,
לְזוּת שְׂפָתַיִם,דיבה/רכילות/לעז/דברי שקר
לחיתה,שרבוב לשון בעלי החיים על מנת להתקרר  
כִּלְחֹךְ הַשּׁוֹר,בבוקר השכם/מוקדם מאוד
