מַגְלֵב,שוט/פרגול,הגרמנים היו משתמשים עם מגלבים והכות ביהודונים
מֶגָלוֹמַנְיָה,שיגעון הגדלות/מחלת רוח שהנגוע בה מאמין כי אין גדול/חשוב או מוכשר ממנו בעולם,מגה-לומן אחד שמפיץ הרבה אור וחושב שהוא ה'
מַגְמָה,חומר סלעי הנמצא מתחת לקליפת כדור הארץ ומתפרץ לפעמים כלבה מהר געש,היה פוקמון שקוראים לו מגמה והוא היה עשוי ממגמה
לִמְגִנַּת לִבּוֹ,לצערו/למורת רוחו,מגינה- צרה/מצוקה/צער ויגון
מָגֵס,קערה למרק או סיר
מִגְרַעַת, •חיסרון/פגם/ליקוי •מגרעה/שקע/גומחה
מִגְרֶרֶת,פומפייה
מִגְרָרָה,עגלת חורף/המחליקה על פני השלג(כמו לאסקימואים או לסנטה קלאוס)
קוֹל קוֹרֵא בַּמִּדְבָּר,קריאת שווא/קריאה ללא כל תשובה,מי בכלל ישמע אותך במדבר
מַדְגֵּרָה, אינקובטור,דוגרים עליו כמו אמא ציפור
מַדְגֵּשׁ,מרקר/טוש סימון
עמד על מידותיו,הקפיד ועמד על זכויותיו בכל תוקף/לא ויתר/התעקש,אני לא זז מפה עד שאתה מוותר לי
מְדוֹכָה,•מכתש/כלי שדכים וכותשים ומפוררים בתוכו דברים יבשים •אוכף לרכיבה,ראו את הביטוי "ישב על המדוכה" משהו ישב וטחן את המחשבה
מָדוֹן,ריב/מריבה/קטטה/מדנים
מַדְלֶה,עגורן/מנוף גדול,הוא דולה
מַדְמֵנָה,מזבלה/מקום דומן וזבל,כמו מתמנה מקום שתומנים שם
מִדְרָג, •טרסה/מדרגה על צלע ההר •היררכיה/ מערכת הדרגות,בנוי בצורת דרגות. תעשו עם היד צורת מדרגות ותגידו את המילה
שֵׁפֶל הַמַּדְרֵגָה,מצב חומרי או מוסרי ירוד מאוד
מִדְרָךְ, •מקום דריכת הרגל •דריכה/צעידה
מִדְרַשׁ פְּלִיאָה,אניגמה/חידה/ דבר פלא/ דבר לא מובן ומופלא
מְדֻשַּׁן עֹנֶג,מרוצה מאוד/ שבע-נחת/ מסופק/ מאושר
דָּבָר שֶׁל מַה בְּכָךְ,טריוויאלי/ דבר ללא משמעות מיוחדת
מַהְבִּיל, •מעלה הבל ואדים •מוטעה/ משובש
מְהַדֵּר,זהיר/ מקפיד מאוד,מכאן- מהדרין- אנשים המקפידים מאוד על הפרטים
מָהוּהַּ,בלה/ שחוק ומרופט
