מְהֵימָן,שניתן לסמוך עליו
מהין, מעז
מַהֲמוֹרָה,חפירה/בור/שוחה/מהמורת,זהירות מהמורות בדרך
מְהֻקְצָע (מהוקצע), •מוחלק/עשוי ומלוטש במקצועה •חלק/ללא פגמים חיצוניים
מֹהַר (מוהר),נדוניה,מכאן מוהרה- ארוסה, אישה ששילמו עליה מוהר
מַהֲתַלָּה,בדיחה/ליצנות/דבר צחוק והיתול
מוּבָאָה,ציטטה/ציטוט/הבאה,אני מובאה את הנבואה
מוֹבִּילִיּוּת,ניידות
מוּג לֵב,פחדן/רך-לבב
מוּגָף,סגור/נעול	  
אופן, הדרך שבה נעשה דבר
מוֹדוּס, •מודוס ויוונדי- דרך חיים/מצב בו הצדדים מגיעים להסדר שאפשר לחיות איתו •מודוס אופרנדי- דרך פעולה
מוֹדִיפִיקַצְיָה,שינוי צורה והתאמתה/סיגול צורתו של דבר-מה לצורך תפקידו,גוגל עושים מערכת הפעלה שאפשר יהיה לעשות עליה מודיפיקציה על מנת שתתאים ליוזר
מוֹדֶרָטוֹ,בקצב איטי ומדוד/במתינות
מוֹז,בננה/אגס הוא נג'אס/ומוז היא הבננה/אננס הוא אננס/תופח הוא התפוח! 
מוֹזָאִיקָה,פסיפס
מוּזָה,•במיתולוגיה היוונית: 9 אלילות ההשראה, שהיו אחראיות לאומנויות ולמדע •בהשאלה: השראה (נחה עליו המוזה והוא החל לצייר)
מוֹךְ,דבר רך כעין צמר או צמר-גפן •בעופות: הפלומה הדקה שבין הנוצות •שער רך העולה על פני נער מתגבר
מוּמָר,•מוחלף/מותמר/מי שעבר המרה •מי שהמיר את דתו
מוֹנוֹגַמְיָה,נישואין לאישה אחת
מוֹנוֹגְרָמָה,משלבת/ציור או שילוב של כמה אותיות כראשי תיבות של שם/שם משפחה/שם של מוסד וכו'  
מוֹנוֹטוֹנִי, •חד-גוני/בעל טון אחד ללא שינויים •משעמם/נוסך-עצב
מוֹנוֹלוֹג,שיח-יחיד (לעומת דיאלוג שהינו דו-שיח),מונו זה אחד
מוֹנוֹקְרַטְיָה,מונרכיה, שלטון יחיד
מוֹנוֹתֵאִיזְם,אמונה באל אחד (לעומת פוליתאיזם- אמונה בריבוי אלים)
מוֹנְטָז',הרכבה של חלקים בודדים לדבר שלם
