מוּנִיצִיפָּלִי,עירוני/השייך לעירייה או למועצה העירונית,מונית פלי ברור שמי שזמין מוניות הוא בחור עירוני
מוֹנַרְכְיָה,שלטון מלוכני/שלטון יחיד/מונוקרטיה
מוּסַר כְּלָיוֹת,חרטה. (כמו שאהבה נמצאת בלב, והמחשבה במוח, אז בכליות נמצא המוסר)
*מוֹסֵרָה,חבל עבה/עבות/המשמש לקשירת בהמות וסוסים,קושרים את טל מוסרי הבהמה הזאת
בֵּית מוֹעֵד לְכָל חַי,בית קברות
מוּעָם,מוכהה/שעמעמו אותו  
מוּפָז,מכוסה פז (זהב)
מוֹץ,קליפות גרעיני החיטה
כְּמוֹץ לִפְנֵי רוּחַ,משל לדבר האובד ונגמר מהר
לָבֹר מוֹץ  (תֶּבֶן) מִן הַבָּר,להוציא את הדבר הרע מהטוב/לזקק כך שיישאר רק דבר טוב
מוֹצָא פִּיו,דבריו/אמירותיו/מוצא שפתיים/מוצא דבר	
מוֹקֵד,•מדורה/אש בוערת (איפה ששורפים אנשים בכיכר העיר) •פוקוס • מרכז/עיקר
מוּקְיוֹן,ליצן/לץ/בדחן
מוֹרָא,פחד/מגור/יראה
מוֹרַג,כלי לדישת החיטה
מוֹרֵה דֶּרֶךְ, •מדריך טיולים •ספר שימושי המדריך את קוראיו בנושא מסוים
מוֹרָל, •מצבו הנפשי של אדם •מוסר/מידות-טובות
מוֹרְפוֹלוֹגְיה,תורת הצורות והמבנה/בלשון ובמדעי הטבע
מושב רעים,מסיבת חברים
מושך,בעט/ בקולמוס,סופר
מוֹתָב, •מושב, ישיבה, פאנל •צוות
מוֹתָר •עודף, שארית •יתרון, עדיפות (מותר האדם מן הבהמה),מותרות
מזגגה,מקום עבודתו של הזגג/מקום לעבודות זכוכית	 
מְזָוֶה, •מחסן למזון או לתבואה •ארון או מזנון במטבח או בסמוך לו המכיל מזון	
מְזוּזָה,בנוסף למה שמנשקים/זה גם אחד משני דפני הדלת, צידי הדלת (המקום בו מקבעים את המזוזה)
