ַחְמַד עֵינוֹ (לִבּוֹ),דבר האהוב עליו ביותר/יקירו/מחמל ליבו
מֵחֲמַת,מפאת.../מסיבת.../בגלל...,הנאשם זוכה מחמת הספק, או מוקצה מחמת מיאוס...
מַחְפִּיר ,מביש, גורם לחרפה	
מַחְצָב ,•מינרל •מחצבה	
מַחְצֶלֶת,שטיחון (זה המכוער מקש שפורשים בפיקניקים-טוזיגים)  
מַחְצֵצָה,קיסם לניקוי השיניים
מְחַרְחֵר,סכסכן (מחרחר ריב)
בְּמַחְשָׁבָה תְּחִלָּה,בתכנון מוקדם/מתוך עיון בדבר מראש/מתוך כוונה ושיקול דעת,סוף מעשה במחשבת תחילה
מַחְשֶׁבֶת,ידיעה מעמיקה באומנות,מכאן- מלאכת מחשבת- מעשה אומן, עבודת אומן מומחה
מַחְתָּה,כלי לגריפת גחלים מהאח
מֶטֶאוֹרוֹלוֹגְיָה,תורת מזג-האוויר
מֶטָבּוֹלִיזְם,חילוף החומרים בגוף
בֵּית מִטְבָּחַיִם,משחטה/מקום לשחיטת בהמות,אל תחפשו סרטים של זה ביוטיוב אתם תהפכו למצחוניים
מִטְבָּעָה ,בית חרושת להטבעת מטבעות
נשבר מטה לחמו,איבד את פרנסתו
מֻטַּת כְּנָפַיִם,המרחק בין קצה כנף אחת לקצה הכנף השנייה (בציפורים ובמטוסים)	
מָטוֹל •פרוז'קטור/מקרן •כלי נשק להטלת פצצות או רימונים,מטול שקפים
מְטוּלָה,טיילת,יש בכלל טיילת במטולה?!
מטורזן,מגונדר/קוקטי (כמו טווס)/מפורכס (מאופר)	
בְּמָטוּתָא,בבקשה
מַטְמוּרָה,מקום חפור באדמה/על מנת להחביא בו דברים,טמון באדמה
מֶטָמוֹרְפוֹזָה,מהמילה טמיר שמשמעותה סודי/מוחבא/שינוי צורה
מַטְפֶּה,מטף כיבוי	
מֶטָפִיזִי, •היוצא מגדר הטבע •מופשט/ערטילאי/בלתי-מציאותי
מֶטְרוֹ ,רכבת תחתית
מַטְרוֹנָה,מטרונית/גברת נכבדה/אדונית/אישה מבית אצילים
מָטֶרְיָאלִיזְם,חומרנות
