ממָיוֹנִית,מיונז
מִיזַנְתְּרוֹפּ,שונא אדם (ההפך מפילנתרופ- אוהב אדם וגם נדבן)
מֵיזָע,סווטשירט/אפודה/פַּקְרֵס
מִיכַל,פלג נחל
מִילִיטַנְטִי,תוקפני/לוחם
מִילִיטָרִיזְם,צבאיות
מִילִיצְיָה, •צבא עממי המבוסס על גיוס כל האזרחים המסוגלים לשאת נשק •משטרה
עַל מֵי מְנוּחוֹת,ברגיעה/במתינות/בשלווה,בדרך כלל אומרים את זה על משהו שמת
מִימִיקָה,תנועת שרירי הפנים של אדם על פי רגשותיו/אומנות ההבעה של רגשות דרך תנועות שרירי הפנים,מה שהפנים שלכם עשו כשהם ראו פעם ראשונה את המילה
מֵימְרָה,אימרה/מטבע-לשון/ניב/ביטוי
מִינוּת,כפירה, אפיקורסות
מִיקְרוֹבּ,חיידק	
מִיקְרוֹקוֹסְמוֹס,עולם בזעיר-אנפין/עולם קטן
מִירָז',חזיון תעתועים/פטה-מורגנה
בְּמֵישָׁרִין,באופן ישר/לא בעקיפין	
מִישֹׁרֶת,פלטפורמה/רציף	
מָךְ,•עני/רש/דל/ירוד •ענו/צנוע/שפל-רוח	
מַכְבֵּנָה,סיכה לשיער
מכייר,עושה צורות בפלסטלינה   
מְכוֹרָה,מולדת,מכורה שלי, ארץ נוי אביונה!
מכמנים,דברים נסתרים/צפונות •מכמני גופה- החלקים הנסתרים בגופה (נאמר בד"כ על מצב רומנטי) •	מכמני נפשו- צפונות נפשו/מאווייו הכמוסים
מִכְמֹרֶת(מכמורת),רשת דיג גדולה
מַלְאָךְ, חוץ מאלה עם הכנפיים/זה גם שליח
מִלְּבַר,מבחוץ
מִלְּגֵו,מבפנים
מלגו ומלבר,מבפנים מבחוץ/ממש טוב (אני מכיר את הנושא מלגו ומלבר) 
מְלִיצָה, •דיבור של חכמה/דבר משל וחידה •דבר פיוט/ניב
