מֶצֶר,מסיבת חברים
מִצְרֶפֶת,קומבינזון או בגד גוף
מָקָאמָה,סיפורים שנונים הכתובים בפרוזה
מָקַבְּרִי,מבעית/איום/מפחיד 
מקבתףפטישףהמכבים מחנוכה נקראו במקור "מקבים", וזה כנראה בשל העבודה שהם עסקו בה. משהו עם פטיש. 
מִקַּדְמַת דְּנָא,משכבר הימים/מאז ומעולם
מַקּוֹשׁ, •מקל לתופים •פטיש עץ קטן
מַקּוֹשִׁית,קסילופון
מְקוֹשֵׁשׁ,אוסף, מלקט,לקושש זרדים למדורה
מִקָּח וּמִמְכָּר,משא ומתן
עָמַד עַל הַמֶּקַח,התמקח/תיגר/נשא ונתן על המחיר
מְקֻטָּב (מקוטב), •מחולק לקטבים •מנוגד בתכלית
בא אליו במקלו ובתרמילו,התווכח איתו/הסתער עליו בשיא הויכוח
מַקְלֵט,רדיו או טלוויזיה
מקולס, •מהולל/משובח  •צלוי
מִקְלַעַת, •רוגטקה •מעשה קליעה של חוטים/שערות או רצועות	
מְקֻמָּר (מקומר),עשוי בתבנית קשת/גבנוני
מִקְנֶה,• שם כולל לצאן/לבקר ולבהמות עבודה שיש לאדם •קניה/קניין
מִקְפָּא,ג'לי (האוכל הרוטט)
מְקַפָּה,כף גדולה ושטוחה שיש בה חורים
מַקְצוּעָה,כלי נגרים המשמש להקצעת עצים ולהחלקתם
מַקְרֵבֶת,טלסקופ
מְקֹרֶה (מקורה),שיש מעליו תקרה
מְקֻרְזָל (מקורזל), •כרוך כפקעת/מעוגל •מתולתל/מסולסל
מִקְשָׁה,שדה קישואים או אבטיחים •מקשה אחת- גוש אחד
מַר,טיפה/אגל
מוֹר,צמח שמהשרף שלו הי מכינים קטורת ובושם,מור בשמים ולבונה...
