מְרַאֲשׁוֹתָ,צד המיטה עליו מניח השוכב את ראשו (ההפך מ"למרגלות")
מַרְבָד,שטיח/מצע	
מִרְבָּץ,אם תכוון גבוה מידי תצא בלי כלום תָּפַסְתָּ מְרֻבֶּה/לֹא תָּפַסְתָּ שכבה/רובד/מקום (כמו מרבץ נחושת בסלע)
מַרְגְּלוֹת, •מקום רגלי השוכב במיטה •רגליים	
מַרְגָּלִית, •פנינה/אבן טובה •כינוי לדבר יקר ביותר	
הוא עומד במרדו/מריו,ממשיך להתעקש/תקיף בהתנגדותו/אינו נכנע
מְרֻדָּד (מרודד), •מרוקע/משוטח ע"י הקשה בפטיש •שטוח/פרוש
מַרְדֵּעַ,מלמד/מקל ובסופו דורבן לכיוון וזירוז הבהמה החורשת
מַרְדַּעַת,שטיח/כר/או אריג שמניחים מתחת לאוכף סוס/או על כתפי סבל מתחת למשא
סוֹרֵר וּמוֹרֶה,עיקש וסרבן/מרדני/שממרה את פי פלוני
מַרְוֶה ,שובר-צמא/מספק נוזלים לגוף
מֵרוּק,מירוט/ליטוש/צחצוח/טיהור/ניקוי (כמו שממרקים כלי כסף)
מָרוּת,אדנות/שררה/שליטה/משמעת
מַרְזֵב,צינור בצד הבית המנקז את מי הגשמים מהגג לאדמה
מַרְזֵחַ,משתה/הילולה
בֵּית מַרְזֵחַ,פאב/באר/מסבאה/ממזגה
מַרְזֶפֶת,פטיש
מַרְחֶשֶׁת,מחבת לטיגון/אִלְפָּס
מַרְטִיר,קדוש מעונה
מַרְיוֹנֶטָה,בובה של תיאטרון בובות  
מְרִיטָה, •נשירת השערות/התקרחות •תלישה/הוצאת נוצות או שיער במשיכה חזקה
מְרִיטַת עֲצַבִּים,מתיחת עצבים/עצבנות יתרה
מָרִישׁ,קרש לבניין
מָרִית,•כף שטוחה וגמישה שהנגרים משתמשים בה להחלקת העץ (שפכטל) •כף שטוחה המשמשת להפיכת חביתות ולהוצאת דברים מהמחבת
מוֹרֶךְ,רפיון/חולשה/רכרוכיות,מכאן מורך לב שמשמעותו פחדן, מוג לב
מַרְכּוֹלֶת,סחורה/מסחר	
