ַרְמָר,שיש (כמו במטבח)
מַרְנִין,משמח מאוד/מהנה
מֻרְסָה (מורסה),מוגלה
מַרְסֵק,כלי מטבח המשמש לריסוק ירקות ופירות (זה שמכינים איתו פירה)
מְרַע,חולה/כואב,מכאן- שְׁכִיב מְרַע שמשמעותו חולה אנוש ומרעין בישין שמשמעותו צרות צרורות
מַרְעוֹם,החלק בפגזים מוקשים ופצצות שמפעיל אותם
מַרְצֵעַ,מכשיר/בעל ידית בה תקועה יתד מחודדת/המשמש לניקוב נקבים •יצא המרצע מן השק- האמת התגלתה
הָיָה כְּמֶרְקָחָה,רתח/געש/היה מלא פעילות נמרצת
מַרְשׁ,•מצעד צבאי/הליכה בסך(march)•שיר לכת	
מִשְׂגָּב,מבצר, מעוז, מחסה, מגן, מפלט
מרשה,כך קורא הפרקליט למי שהוא מייצג אותו/כי הוא מרשה לו לייצג אותו (מרשי טוען כי הוא חף מפשע)
מַשְׂדֵּדָה,מכשיר חקלאי ובו שיניים לפירור רגבי האדמה לאחר החרישה/ ליישור פני השדה ולכיסוי הזרעים שנטמנו
מַשּׂוּאָה,לפיד/מדורה שלהבתה נראית לרחוק
משורה,כלי קטן למדידת נוזלים
מִשְׁוֶרֶת,טבעת בארכוב בה מניח הרוכב את רגלו בזמן הדהירה
מַשְׁחֶתֶת,אוניית משחית/אוניית מלחמה מהירה ובעלת עוצמת אש גדולה
מַשְׂטֵמָה,שנאה עזה/איבה  
נָפַל לְמִשְׁכָּב,חלה/היה אנוס לשכב מפאת מחלה
מַשְׁכּוּכִית,הכבשה המובילה את העדר (מושכת אחריה את כולם). בהשאלה- אדם המוביל אחריו אנשים  
מַשְׂכִּית, •ציור •תכשיט ובתוכו תמונה
מַשְׁמִים,משעמם
מְמַשְׁמֵשׁ וּבָא,הולך ומתקרב
מִשְׁנָה,לימוד/שינון או תורה/שיטה/עיקרי תורתו של הוגה דעות
שביל,מִשְׁעוֹל
מִשְׁקָעִים,גשם/ברד ושלג
מְתַאֲבֵן,אפיטייזר/דבר המעורר ומגביר את התיאבון
