ממִתְאוֹנֵן,מתלונן	
מִתְאָר,קונטור/הקו החיצוני המקיף ומתאר את צורתו של עצם/נוף וכדומה
מַתְבֵּן,ערימת תבן
מֶתוֹדָה,שיטה/דרך מסוימת לביצוע דבר/מרשם/סקיצה/ובהשאלה: תוכנית רשומה בקווים
מִתְוֶה,כלליים
מַתְכּוֹנֶת,מידה/שיעור/כמות,בחינת המתכונת, באה למדוד את יכולות התלמידים לפני הבגרות וגם להכין אותם
מַתְּלָאָה,תְּלָאָה/צרה/שוד-ושבר
מַתְמִיהַּ,מפליא/גורם להשתוממות ותמיהה
מִתְמַהְמֵהַּ,מתעכב	
מַתָּן בַּסֵּתֶר, •צדקה בחשאי/בלא פרסום שם התורם •שוחד
מָתְנִיָּה,בגד עליון קל המגיע עד למותניים וקצת למטה מהם/ז'קט/וסט
