נָא,•לא מבושל•מילת בקשה/אנא/בבקשה
נָאוֹר,תרבותי/מנומס/משכיל
נָאוֹת,יפה/מתאים •ניאות- מסכים (הוא לא ניאות להיכנס לרכב...) 
ניאץ,קילל/גידף/חירף/ארר,יא נאצי! 
נֶאֱצַר,•נגנז/הוצפן/הוטמן •נאסף
נֶבֶט,זרע
נבצר,לא היה יכול. (הדבר נבצר ממנו) •היה בנבצרות- חוסר יכולת של נושא משרה למלא את תפקידו (כמו משה קצב)
נִבְרֶשֶׁת,מנורה מפוארת/צ'נדליר(כמו ההוא מחברים).
נָגוֹהַּ,מואר/מוצף זוהר
נָגַשׂ,התעמר/רדה/לחץ •נוגש- מי שמתעלל ורודה (כמו המצרים בבני ישראל)	
נִדְבָּךְ, •שורה של לבנים בקיר •בהשאלה: רובד/שלב/שכבה (הוא בנה את הטיעון נדבך אחר נדבך)
נוֹאָל,טיפש/אוויל/סָכָל
נוּבוֹרִישׁ,(כינוי שלילי) עשיר חדש/אדם שעושרו הגיע מעבודה קשה ולא מירושה והוא משוויץ בו
נובץ/נביצה,מיילל כמו כלב שדרכו לו על הזנב
נוּל,מכונה לאריגת בדים
נוּן,דג,מכאן- תמנון, דיונון...
נָדְדָה שְׁנָתוֹ,לא הצליח להירדם,במגילת אסתר כתוב ששנתו של המלך אחשוורוש נדדה.
נֶהֶפְכוּ   /   הִשְׁחִירוּ    פָּנָיו    כְּשׁוּלֵי    קְדֵרָה,פניו החליפו גוונים מתוך בושה,קְדֵרָה = סִיר, כְּלִי לְבִישּׁוּל
נופֶת (צוּפִים) תִּטּפְנָה שִׂפְתוֹתָיו,דבריו נעימים לאוזן (נאמר בדרך כלל בציניות),נופת זה דבש. הכוונה לדבש מצוף של פרחים. 
נוֹנְשָׁלַנְטִי, לא אכפתי/ אדיש (הוא הגיב לחיזוריה בנונשלנטיות)
נוֹרְמָטִיבִי,רגיל/ תקין/ מתאים לנורמה
נוֹצֵר תְּאֵנָה יאכַל פִּרְיָהּ,מי שטורח ועומל בסופו של דבר יבוא על שכרו
נְזִיד   עֲדָשִׁים, דבר פחות הניתן בעד דבר יקר יותר,מגיע מהסיפור של מכירת הבכורה של עשיו ליעקב בעבור נזיד עדשים
נָחָה דַּעְתּוֹ / נִתְקָרְרָה דַּעְתּוֹ,נרגע כעסו/נהיה מרוצה/שכך רוגזו
נֵזֶר,כתר/עטרה
נְחִיל, •עדת דבורים •עדה של בעלי חיים •שפע/מערבולת
