נחירה,שחיטה של חזיר
נְחִיצוּת,דחיפות/צורך רב שאינו סובל דיחוי
נָחַל,ירש ירושה
נַחֲלָה, •ירושה •אחוזה/ קניין ובייחוד אדמה
נַחְשׁוֹל, •גל סוער וגדול/ משבר •תנועה גדולה/ זרם עצום
נַחְשׁוֹן, כינוי לאדם נועז הנחלץ ראשון למקום סכנה או לפעולה חשובה וקשה מאוד
נֶחְשָׁל,מפגר/שהתקדמותו אינה כשל אחרים,תמיד מדברים על מדינות נחשלות
נַחְתּוֹם,אופה,מהביטוי "אין הנחתום מעיד על עיסתו"
נטה עמו חסד, התייחס אליו בטוב לב/ הלך לקראתו 
נִטּוּר,שמירה/נטירה,לכן יש את "נטורי קרתא"- שמשמעות השם שלהם זה "שומרי העיר". 
נֶחָמָה     פֻּרְתָּא,נחמה קטנה
נֵטֶף,טיפה/אגל
נָטַר (שָׁמַר) טִינָה(למישהו),שומר כעס בליבו...
נִיב, •ביטוי/מימרה/אימרה •דיאלקט/בת-לשון •שן ארוכה אצל הטורפים
ניבע, החל לבצבץ/החל להתגלות
נִיהִילִיזְם,שלילה גמורה ומוחלטת של הכל/ ספקנות קיצונית ומופרזת בכל
נְיוּאַנְס,בן-גוון/שינוי קטן/ מעבר קל בין צבע לצבע/ בין קול לקול/ בין רעיון לרעיון... (שים לב לניואנסים שבנאומו...)	
נִיחָא,טוב/ בסדר/ שפיר/ נו מילא...
נִיחוּתָא,נחת/נוחות/מנוחה
ניטש,התחולל/ התרחש (כמו קרב שניטש)
ניחר,התייבש (גרוני ניחר!)
נִים/ה, •ישן/ נם/ מנמנם •חוט/ שערה/ מיתר. ידובר על מרחק קטנטן (הוא לא מש נים).•צליל/נעימה/הד/ נימת קולו- הדרך בה הוא אמר דברים (דיבר בנימה ניצחת- היה בטוח בעצמו. בנימה ממרה- יצא נגד הפקודה של מישהו...)
נִין,בן הנכד
נִיר, •חרישה •שדה חרוש,מהשיר דבר אלי בפרחים- "...הוריקו שדות במרחב ובניר...",ניר חרש על מדינת ישראל
נִירְוָנָה,שלווה מוחלטת,זה ממש אוקסימורון שללהקה הרועשת נירוונה קוראים נירוונה! 
נְכָאִים,עצבות/ דכדוך-נפש/ יגון (רווח בצירוף- אווירת נכאים)
