נְכוֹחָה,יושר/ דברים ישרים/ נכונים ואמיתיים/ כהווייתם (רווח בצירוף- רואה את הדברים נכוחה)
נִכּוּר,זרות,מכאן- להתנכר למישהו, לחוש תחושת ניכור
נִכּוּשׁ,הוצאת עשבים שוטים
נֹכַח,נגד/ מול (הוא הואשם במורך לב נוכח אויב)
נִכְלַם,נבוך/ מבוייש/ מלא כלימה ובושה
נִכְמְרוּ [הִתְגַּלְגְּלוּ] רַחֲמָיו (על מישהו),ריחם/ חס על מישהו
נִכְסַף, •משתוקק/מתאווה •שמשתוקקים אליו
נָכְרִי, •זר/שאיננו בן המקום; לא מוכר/לא מסביר פנים,מהמילה נכר שמשמעותה זרות, גלות
נִלְאָה,עייף/ מותש/מיוגע
נָלוֹז,עקום/הסוטה מהדרך הישרה
נמאר,ממאיר/מסוכן
נָמוֹג, •מתנדף •חרד/ מבוהל
נָמוֹשׁ, •כינוי לזקן/ישיש •חלש/מפגר (לכן קוראים למישהו "נמושה!")
נִמְעָן,האיש שאליו ממוען המכתב
נֵס, •פלא (נס פך השמן) •דגל (הבה נרימה נס ואבוקה- יעני דגל ולפיד)
נָסוּךְ,•יצוק/ מותך/מיוסד/מבוסס •שפוך/שרוי •נסך- גרם לתחושה מסוימת (נסך ביטחון...)  
נִכְסֵי צֹאן בַּרְזֶל,דבר שלא מאבד מערכו. הקלאסיקה של תרבות מסוימת,הכבש ה-16 הוא מנכסי צאן הברזל של התרבות הישראלית
נַסְיוֹב, •הפרשה נוזלית •חיסון
נְסִיקָה,המראה/ זניקה למעלה (לכן מסוק נקרא ככה) 
נַעֲוָה, מעוקם/ נלוז/ מסולף	
נַעֲלֶה,מרומם/נשגב/מעולה/נישא
נֶעֱתַר,הסכים לבקשה (לעתירה)/התרצה
נִסְכַּל,נהג בטיפשות/ עשה מעשה שטות
נָפָה, •מסננת בעלת נקבים קטנים לניפוי אבקות כגון קמח •אזור/מחוז/פלך/ גליל
נֶפּוֹטִיזְם,פרוטקציה לקרובי משפחה,כמו שנאפו מהקטקטים הסתובב עם טיפטיפ וטיפטיפון, למרות שהוא מעפן, וכל זה בגלל שהוא היה הבן של ראש העיר!
נְפִיחָה, שם עדין יותר לפלוץ הוצאה של אוויר (לכן נפח נשמתו)
