נִפּוּק, הנפקה/הוצאה לשימוש הרבים
נפוש,נח/מי שאינו עובד/ בנופש
ניגף, •נסגר (כמו תריס שהגיפו אותו) •הובס בקרב/ הוכרע
נִיגַּר,נשפך (לנוזלים סמיכים כגון דבש, דם וכו')
נַפָּח,חרש-ברזל
נָפִיל,ענק/ טיטן,קוראים לענקים נפילים כי הם נפלו מהשמיים 
נֹפֶךְ,אבן טובה מאבני החושן
נֵפֶל, •ולד שעבר הפלה/מת בלידתו או בטרם לה •בהשאלה: דבר שלא צלח
נפלא ממנו הדבר ,הוא לא מצליח להבין את זה/זה גדול עליו
נפלה,שונה/ נבדל	
נִפְעָם, מרוגש/ שליבו הולם בחוזקה מתימהון או מהתרגשות
נפקה/נפקנית, זונה/ יצאנית
נפרז, מוגזם/מופרז
נֹפֶת,דבש
נֹפֶת    צוּפִים, •דבש מעולה ומשובח •בהשאלה: שם דבר למתיקות ונועם	
נפת/ נפה,מחוז/ אזור/פלך/ גליל
נִצָּה,התקוטט/ רב,מכאן ניצים- אנשים הנמצאים בריב/ אוייבים
נָצוּר, •שמור/נעול •נתון במצור/ מכותר/מאוגף •מקום סתר/מחבוא
נַצְחָן, •תקיף/ חזק/ בעל-זרוע •וכחן/ פולמוסן/ מי שאוהב להתווכח ולהתנצח
נִצָּיוֹן,ריב/קטטה  
נֵצֶר, •ענף רך היוצא מן השורש •צאצא/ זרע (אני נצר למשפחת המלוכה הבריטית) •קנה דק וגמיש המשמש לקליעה (מכאן סל נצרים)
נִקְבָּה, •נקב/ חור •מחילה/ מנהרה (כמו נקבת השילוח)
נָקְעָה   נַפְשׁוֹ, מאס בדבר,כמו שלימור הייתה אומרת- העם נקעה רגלו!
נקדוד/ נוֹקֵד,מגדל צאן/רועה,תחשבו על כבשים רועות, הן נראות כמו מלא נקודות לבנות! לכן הרועה הוא נוקד
נקוף,מוכה/חבוט
נקיפת אצבע,עשייה קלה/התאמצות מעטה,לא קפסת אצבע לעשות את העבודה כמו שצריך
