סוּגָה, •ז'אנר •גדר/ משוכה/ סייג (וגם גן מגודר)
סוּגֶסְטְיָה, השאה/ שכנוע עצמי/ השפעה נפשית על אדם באופן שדרכי התנהגותו של המושפע מבוצעים אך ורק על פי רצונו של המשפיע,זה ממש סוג של סטייה לעבוד על עצמך!
סוּדָר, •סוודר/ סריג •מטפחת ראש
סוֹדְרָן,קלסר/ אוגדן
סוחה,אשפה/ זבל/ דומן/ סחי וזוהמה
סוֹלִידָרִי,מזדהה אחר/ שותף לגורלו/ לסבלו או לשמחתו
סוֹלִיסְט,סולן/ יחידני
סוּמָא,עיוור/ סגי נהור
סוֹמָטִי,גופני פיזיולוגי,מכאן- פסיכוסומטי- דבר המושפע מנפש וגוף (או מפסיכומטרי ומהגוף! חחח)
סָוָנָה,ערבה מדברית (כמו הנוף של מלך האריות)
סוֹפִיזְם,הוכחה מחוכמת אך כוזבת ביסודה
סוֹפְּרָנוֹ,הקול הגבוה ביותר בסולם קולות האדם,לטוני אין ממש סופרנו...
סוֹצְיוֹלוֹגְיָה,תורת החברה
סַוָּר,סבל בנמל
סוּרֵאָלִיזְם,על-מציאותיות/ כמו הציורים של דאלי (עם השעון שנוזל)
סוֹרֵר,עיקש/ מרדן/ סר מן הדרך הישרה
סְחִי,אשפה/ לכלוך/ דבר זוהמה
סְטַבִּילִי,יציב/ שאינו נתון לשינויים
סְטַגְנַצְיָה,קפאון/ עמידה במקום
סְטָו,אכסדרה/ גלריה שלאורכה/שדרות עמודים
סְטִיכְיָה, •איתן-טבע •סטיכי- בלתי מאורגן ובלתי מכוון
סְטֶנוֹגְרַפְיָה,קצרנות/ שיטה כתיבה ע"י סימנים מוסכמים וקצרים
סְטְרוּקְטוּרָה, מבנה
סְטֶתוֹסְקוֹפּ,מַסְכֵּת/ אבוב רופאים/ קנה שמע של רופא לשמיעת קולות הנשימה ופעימות הלב ואיוושותיו 
סִיג,פסולת של מתכת
סְיָג,גבול/ הגבלה
