סְנִיקָה,דחיפה/ דחיקה
סַנְקְצְיָה,פעולת עונש לצד המפר התחייבות
סַעַף,מחשבה •	סעיפים- מחשבות/ שרעפים/ הגיגים •פוסח על שתי הסעיפים- מתלבט/ מהסס,וואלאק אתה! הבאת לי את הסעיף! 
סַעַר, •סופה/ סערה •רעש/ מהומה/ צרה
סָפוּן, •מקורה/ בעל תקרה •צפון/ טמון/ נסתר •סגור (הקפטן היה ספון בתאו)
סְפּוֹרָדִי,בלתי סדיר/ המופיע מפעם לפעם ללא סדר קבוע (כמו קצב לב ספורדי)
סְפִיחָה,ספיגה
סְפִיקָה, •הכאה/ דפיקה (ספק כפיו זו אל זו) •	יכולת/ אפשרות ( מהמילה הספק/ כמו ספיקת לב)
סַפְסָר,מתווך במסחר (פושע) 
השערה,סְפֶּקוּלַצְיָה  
סְפַּרְטָנִי,מי שמסתפק במועט/ פשוט וצנוע
סְקֶפְּטִי,ספקני
סר,סטה/ עזב/ יצא/ הסתלק •סר חינו- הפסיק להיות מגניב בעיני אנשים •סר טעם- חסר טעם
סָרוּחַ,מסריח/ מבאיש/ או זרוק כמו פגר (סרוח על המיטה)
סָרוּת טַעַם,העדר טעם
סָרִיק, •ריק/ פוחז/ פרחח •עוגה דקה/ כעין מצה
צבע אדום או צהוב/ שרק סָרָק,"ללא כחל או סרק"
סַרְקַזְם,צחוק ארסי עוקצני ומר
סָתוּר, •מבולגן/ פרוע/ בלתי מסודר •הרוס/ נתוץ •מופרך/ שהוכחה הסתירה שבו	
סָתוּם, •אטום/ סגור •בהשאלה: לא ברור/ לא מובן •לא מוגדר/ סתמי
סִתּוּת,הקצעת אבנים לבניין
סוּגָה בַּשּׁוֹשַׁנִּים,מוקפת בסייג (גדר) של שושנים/ חיי שלווה ושקט על מי מנוחות וגם הצלחה רבה
סוּס טְרוֹיָאנִי,מזימה באמצעות בגידה מבפנים
סִיַּעְתָּא דִּשְׁמַיָּא,עזרת השם,בס"ד – בסיעתא דשמיא- בעזרת השם
סָמוּךְ עַל שֻׁלְחַן פְּלוֹנִי,שמישהו מפרנס אותו
סָפְרָא וְסַיָּפָא,כוחו גדול גם ברוחניות וגם בגשמיות,ספרא- ספר/ סיפא- סיף/ חרב
