עָב,ענן
עֲבוֹט,משכון/ חפץ שמלווה לוקח מן הלווה בערבות לחובו שיפרע במועד
עִבּוּר,הכנסה להריון •עיבורה של עיר- שולי העיר! מסביב לעיר/ הפרוורים/ ההפך מטבורה של עיר (המרכז)
עבדקן,בעל זקן עבה ומגודל
עָבוֹת,•חבל עבה וקלוע/ כבל או ענף עבה או עבות יער- מעבה/ עובי היער/ סובך
עֲבוֹתוֹת,קשרים חזקים,מכאן- עבותות אהבה
עֵבֶר,מעבר ל-/ בצדו השני של-
עֶבְרָה, כעס/  קֶצֶף / חרון/ זעם
עָג, •חג/ נע בעיגול •לש/ מכין עוגה
עֲגָבוֹת,•תאווה מינית (לעגוב- לכפות אהבה/ לתנות אהבה) •ישבן	,זו הסיבה שאליעזר בן יהודה התנגד שיקראו לעגבנייה עגבנייה/ ורצה שיקראו לה בדורה (כמו בנדורה בערבית). 
עָגָה,ז'רגון/ סלנג/ דיאלקט
עָגוּם,עצוב/  נוּגֶה
עָגוּן/ה, •מי שבן זוגה עזב אותה ללא גט והיא מנועה מנישואים
עֲגוּרָן,מנוף גדול לנשיאת משקלים כבדים
בַּעֲגָלָא וּבִזְמַן קָרִיב,במהרה ובזמן הקרוב/ במהרה בימינו,עֲגָלָא- מהירות (ארמית)
עֶגְלוֹן,בעל עגלה/ נוהג בעגלה רתומה לבהמה
עֵדָה,•קהל/ ציבור/ קהילה/ חבורה/ קבוצה •להקת בעלי חיים •יהודים ממדינה מסוימת בגולה
עָדוּד,חיה שנטרפה
עֲדִי (תכשיט)עָדוּי,מקושט/ שיש עליו
עִדִּית, •אדמה טובה/ פורייה ומשובחת (ההפך מזִבּוּרִית) •בהשאלה: מיטב/ מבחר/ סחורה טובה ומשובחת
עֶדְנָה,עונג/ ענוגות/ רכות/ נעימות (רווח בצירוף זכה לעדנה- שמשמעותו נהיה מסופק/ מרוצה)
עָגַב,חיזר אחרי
עֲוִיל, •חוטא •עול בימים/ פרחח/ עולל
עוֹיֵן,שונא/ מביט בעין רעה/ מתייחס בשנאה
עֲוִית,ספזם/ התכווצות בלתי רצונית של שרירי הגוף
