רָחֲפוּ עַצְמוֹתָיו,היה נדהם ונבוך ביותר/ רעד מפחד או מהתרגשות 
עֶצֶר,שלטון/ ממשלה
דָּא עָקָא,זו הצרה/ לפנינו מכשול קשה 
עָקַד,קשר בידיו וברגליו  
עָקלתון,סיבוב/ עקומה/ דיאגרמה 
עֲקַלְקַלָּה,דרך מתפתלת/ ובהשאלה: התנהגות בלתי ישרה/ חוסר יושר
עַקְעָק,עורב  
עֲרָאִי,מקרי/ זמני/ ארעי
עֵרֶב,כל אחד מהחוטים הנכנסים ונארגים לסירוגין/ בין חוטי האורך היסודיים
עֶרְגָּה,כמיהה/ כיסופים/ געגועים עזים
עַרְדָּל,מגף מגומי מעל הנעליים   
ערוֹד,חמור בר
עַרְטִילָאִי,ערום/ חשוף/מופשט/ שאינו מוחשי
עַרְכָּאָה,דרגה במהלך המשפט (החלטתי לעתור לערכאה גבוהה יותר)  
עַרְמוֹנִית,קסטנייטה/ לוחית הקשה של רקדני הפלמנקו/ או בלוטה בגוף הגבר   
עַרְעָר,ערעור/ טענה כנגד דבר מה 
ערער בערבה,בודד/ גלמוד
עֶרֶשׂ	,מיטה/ ספה למשכב,עריסה/ מיטת תינוק 
ערש דווי,במיטת חוליו/ על סף המוות 
עָשׁוּק,גזול/ מי שעשקו ורמסו אותו/ מקופח  
עֲשָׁשִׁית,מנורת נפט
עֶשְׁתּוֹנוֹת,מחשבות/ רעיונות
צוֹק הָעִתִּים,תקופת צרה/ ימי חירום
עֲתוּדָה,חלק מן הכוח המושאר מאחור למקרה שיצטרכו אותו,דברים שהוכנו מראש והם שמורים לעתיד לעת הצורך	  
עָתֵק,רב/ כביר עצום
