פֵּאָה, •קצה/ פינה/ זווית •צד/ עבר
פָאוּנָה, ממלכת החי/ כלל בעלי החיים הנמצאים בארץ מסויימת או באזור מסויים
פוארה/פארה, •ענף/ בד •מיתר/ נימה/ שערה/ חוט,כשיהיה לך שערה בין השיניים אתה אומר תפו ארה
פאתי העיר,השוליים של העיר/ הפרברים
פִּיגּוּל,באוש/ סרחון/ שיקוץ/ מוקצה מחמת המיאוס (בדרך כלל מדברים על בשר פיגולים- שאינו כשר)
פָּגָנִי,עכומי/ של עבודת אלילים
פֶּדָגוֹג,אדם העוסק בהוראה/ מחנך
פָּדָה, •גאל בכסף/ נתן כסף תמורת דבר •הציל/ חילץ מצרה/ שחרר •קיבל כסף מזומן תמורת סחורה שמכר
פַּדַּחַת,מצח,מה שיש לי על הראש זה רק פדחת, השערות עשו הגירה מהראש לתחת
פֶּדַנְט, •העוסק בתחום אחד בלבד •דייקן מופלג/ מדקדק דקדוקי עניות/ מדקדק כחוט השערה
פֶדֶרַצְיָה, •מדינה המורכבת מברית של מדינות (לדוגמא ארה"ב) •ברית/ התאגדות של הסתדרויות שונות
פּוֹאֶמָה,שיר/ יצירה ספרותית/ פיוטית/ כתובה על פי רוב בחרוזים
פוֹבְּיָה,פחד/בַּעַת
פּוֹגְרוֹם,פרעות/ מעשי רצח ואלימות/ מאורגנים ומכוונים כנגד עדה או מעמד מסויים
פֻּזְמָק (פוזמק),גרב
פוחר,כדר/ יוצר כלי חרס
פּוּטְשׁ,ניסיון להפיכה/ למרד,מי שזוכר משיעורי היסטוריה/ הנאצים ניסו לבצע הפיכה לפני שעלו לשלטון/ והיא נקראת "פוטש בית הבירה" 
פּוֹלִיגוֹן,מצולע (לדוגמא: משולש/ מרובע/ מחומש...) 
פּוֹלִיגַמְיָה,ריבוי נשים לגבר אחד (לעומת: מונוגמיה/ ביגמיה)
פוליפוניה,ריבוי צלילים,כשיש הרבה פלאפונים יש הרבה צלילים
פּוֹלִיתֵאִיזְם,אמונה באלים רבים/ עבודת אלילים (להבדיל ממונותאיזם- אמונה באל אחד)
פּוּלְמוּס,ויכוח חריף מאוד/ התנצחות,מי אכל פול(הרבה) מוס ולא השאיר לי גם!!
פּוּלְסָא    דְּנוּרָא,שוט (פולסא) אש (נורא)/ קללה
פוֹלְקְלוֹר,ידע עם/ היצירות העממיות/ אגדות עממיות/ שירים עממים/ אורחות חיים ונימוסים של עם/ אמונות ומנהגים,ברור שהדברים של העם הם עם הכי הרבה צבע, על הדברים האלה אנחנו מתבססים
פּוֹלָרִי,קוטבי/ מנוגד/ בעל שני קטבים
פּוּמִית,פיה/ קצה של כלי נשיפה/ מקטרת/ או כל כלי אחר שיועד להחזקה בפה
