קְסַרְקְטִין,מחנה צבאי/ מגורי חיילים
קֶסֶת,כלי לדיו/ דיותה לא להתבלבל עם כסת- כרית/ שמיכה (בואי נכנס בין הכסתות). וגם לא להתבלבל עם דיוטה- קומה/ שכבה.
קָעוּר,שקוע כלפי פנים/ כמו קערה (ההפך מקמור)
קִעְקֵעַ,החריב/ הרס מהשורש (כן/ בגלל זה קוראים לכתובת קעקע כך. כי זה להרוס את העור לתמיד)
קָפָא [שָׁקַט] עַל שְׁמָרָיו,היה שמרן/ התאבן/ לא חל בו כל שינוי/ התנוון
קְפִיצָה,סגירה בכוח(כמו שקופצים את היד לאגרוף)
קָפִּיטָל,הון/ כסף
קָפִּיטָלי,ראשי (כמו שעיר בירה היא capital city)
קָפֶּלָה,•כנסיה/ חדר תפילה (כמו הקפלה הסיסטינית) •מקהלה כנסייתית
קַפְלֵט,פאה נוכרית/ שיער מלאכותי
קַפְּרִיזִי,גחמני/ עובד לפי רצונות פתאומיים ומוזרים
קָץ,מאס/ יצא לו מהאף
קצוב,בכמות מוגדרת/ לפי קצבה
קָצִיר,חיתוך ואיסוף של התבואה בשדה
קצף,זעם/ כעס/ חימה
קֹצֶר רוּחַ,חוסר סבלנות (ההפך מאורך רוח- סבלנות/ איפוק)
קַצְרָנוּת,כתיבה מהירה של דברים שנאמרים. (כמו בבתי המשפט שיש תיעוד של הנאמר)
קרא בין השורות/ בין השיטין,הבין את המשמעות המרומזת
קרא לו דרור,שחרר אותו/ הוציאו לחופשי
קָרָא תִּגָּר,ערער/ התריס נגד/ יצא נגד ("בוא נראה אותך גבר!")
קרביים,האברים הפנימיים בגוף/ "קישקע"
קַרְדּוֹם,גרזן (לא להתבלבל עם גרדום- מקום הוצאה להורג/ למרות הקשר במשמעות) •קרדום לחפור בו- להשתמש במשהו בשביל תועלת אישית/ ניצול משהו לתועלת
קרדיט,אשראי/ תשלום בהקפה (עם כרטיס אשראי ולא במזומן)
קַרְדִּינָל,דרגת כמורה בכירה
קַרְדִּינָלי,עיקרי/ חשוב/ מכריע
קרוּא,מוזמן/ אורח
קרוב לוודאי,סביר/ כנראה/ כמעט בטוח ש...
בְּקֵרוּב,בערך/ פחות או יותר/ בסביבות
קרוּץ,עשוי ממשהו/ חצוב/ נוצר ממשהו (זה החומר ממנו קורצים גיבורים!)
קרץ,קרע חתיכה של בצק
