ראה את הנולד,צפה את העתיד
ראה צל הרים כהרים,לא ראה את הדברים כמו שהם באמת. חשב שהצל של ההרים זה ההרים עצמם.
ראו עין בעין,הסכימו
רַאַוְתָן,מי שאוהב להראות את עצמו. "שופוני יא נאס"
רְאָיָה,עדות/ הוכחה •וזאת לראיה- וזה מה שמוכיח 
ראש לשועלים,הראשון בקבוצה חלשה או מפוקפקת טוב יהא אדם זנב לאריות ולא ראש לשועלים- עדיף להיות האחרון בקבוצה טובה מהראשון של כל מיני בררה
ראשון במעלה,הכי חשוב
ראשית חכמה,תחילה/ קודם כול/ הדבר הראשון שצריך לעשות
ראשית אונו,הבן הבכור שלו. הדבר הראשון והחשוב שלו
רְבָב,כתם/ פגם
רְבָבָה,10/000/ ריבוא
רְבוּתָא,חידוש/ יתרון
רביב,גשם/ מטר
רְבִיכָה,קמח מעורבב בשמן
רְבִיצָה,שכיבה בלי מעש/ השתרעות
לפתח חטאת רובץ,החטא אורב בפתח ומחכה. תזהר לא להתפתות ולעשות פשע,אלוהים אומר לקין העצבני שאם הוא יקח את הבעסה בסבבה הכל יהיה טוב/ ואם לא- לפתח חטאת רובץ- הוא עלול לעשות פשע
רִבִּית,נשך/ רווח שעושים על הלוואה •ריבית דריבית- אתה תשלם על כל מה שעשית! בתכל'ס זה לקחת ריבית על מה שהלוות ועל הריבית ממנה (נניח שהלוותם למישהו 100 שקל/ ואחרי שנה הוא חייב לכם 120 שקל/ אז עכשיו אתם לוקחים לו ריבית לא רק על ה-100 שהלוותם לו/ אלא על כל ה-120)
רַבְרְבָן,שחצן/ יהיר/ רהבתן
רֶבֶרְסִיבִּילִי,הפיך/ שאפשר לעשות ממנו רוורס
רַבָּתִי,גדול/ שמקיף את/ שכולל הכל. (לדוגמא תל אביב רבתי- כל שטחי תל אביב והסביבה/ יפו וחברים) •לא באלף רבתי- סירוב מוחלט! לא!
רֶגֶב,גוש עפר
רֶגְיוֹנָלִי,איזורי. מהמילה region
רֶגוּלַצְיָה,ויסות
רֶגֶל,•מידת אורך •לרגל- לשם משהו/ בשביל 
רָגַם,יידה אבנים/ סקל/ זרק
רגן,התלונן/ רטן,זה מה שקורה למי שקורא ספר של נעמי רגן. הוא הופך לנרגן ורטנן
