רֶגְרֶסְיָה,נסיגה/ חזרה לאחור/ תסוגה
רֶדוּקְצְיָה,הפחתה/ צמצום
רְדִיד,צעיף
רָבִיד,שרשרת/ מחרוזת לצוואר,לא להתבלבל עם מרבד- שטיח
רדיה,הוצאה/ כמו לרדות דבש- להוציא דבש •לא רדה דבש- לא הלך לו בקלות/ סבל
רָדִיקָלִי,קיצוני
רַהַב,גאווה/ יהירות/ שחץ
רָהוּט,שוטף/ שגור/ שמדבר בצורה יפה וזורמת
רָהוּי,הססני/ מפוחד
ראה מהרהורי ליבו,ראה דברים כפי שנוח לו/ מדמיונו/ ולא כפי שהם באמת
רֹבֶד  ,שכבה/ מרבץ/ נדבך/ קבוצה חברתית (בפרסומות של משחת שיניים מדברים על רובד חיידקי השן)
רובץ,שוכן במקום/ מתנחל
רוֹדָן,עריץ/ דיקטטור/ טירן/ דספוט
רודף בצע,חמדן/ תאב בצע/ טמע!
רווה נחת,שמח מאוד. התמלא בנחת ממשהו
רוֹוֵחַ,נפוץ/ מקובל 
רוח נכאים,עצב/ דכדוך
רוח עוועים,טירוף/ מניה
רוח קדים,רוח מזרחית חמה ויבשה
רוח רעה,שד/ דיבוק
רוחב יד/רוחב לב,נדיבות
רְוָיָה,שתיה עד שלוא מרגישים צמאה. (כמו שבאכילה יש שובע/ אז בשתיה זה לרוות)
רָווּי,מלא במשהו/ ספוג (הרחוב התימני רווי שנאה למדינת ישראל)
רוֹם,גובה •הוד רוממותו- כינוי למלך נישא ורם
דברים העומדים ברומו של עולם,דברים חשובים ועיקריים
רֹמַח,חנית גדולה/ כידון
