רוֹעֵץ, •הורס/ מפוצץ •מכשול/ תקלה/ פוקה •היה לו לרועץ- הכשיל אותו
רוֹפֵס,חלש/ חלשלוש (רופס מוחין- טמבל)
רושף,בוער/ דולק/ מוציא רשפים זה גם קול הנשיפה שעושה הנחשף רושף ולוחש!
רָז,סוד/ תעלומה/ צפנת
רֵחַיִם,אבנים כבדות ששימשו לטחון קמח •הריחיים בצווארו- הדבר היה לו עול כבד. יש לו בעיות פרנסה
רֶזוֹנַנְס,תהודה
רָחֵל,כבשה בוגרת
רחמנא ליצלן,לא עלינו/ חס ושלום/ יצילנו האל (אומרים גם כשמישהו מת- לא עלינו)
רחץ בנקיון כפיו,טען לחפותו. התנער מאחריות
רָחַשׁ,•קול/ רשרוש •מחשבה/ הרהור (אמר את הדברים מרחשי לבו- אמר ממה שהוא חושב/ מהרהוריו הכמוסים ביותר). •רוחש כבוד- מרגיש רגשות של כבוד. (כן כן! זה לא רוכש/ זה רוחש!)
רֶטוֹרִיקָה,תורת הנאום •רטוריקן- נואם דגול
רְטִיָּה,תחבושת המכסה פצע. כמו הרטייה שהייתה למשה דיין
רטרוספקטיבה,במבט לאחור/ לאחר מעשה
רֵאָלִי,מציאותי/ הגיוני
רִיבָה,נערה צעירה/ עלמה,"מי יש לו ריבה כזו/ ריבה יפה כל כך. שתי עניה נוצצות לה לה לה לה לה"- אז זה לא מרמלדה (ריבה למריחה!) זו בחורה צעירה. פרגית. אולי זה בגלל שבחורות תמיד גורמות לריבים בין שכווים מנופחים 
רִיבּוֹן,שליט •ריבוני- עצמאי/ שולט בעצמו
ריטואל,•טקס •דבר שחוזר על עצמו
רִטֵּשׁ,קרע לגזרים/ ביתר,הוא ניסה ללטש אבל מרוב עצבם אז פשוט הרס לזה את הצורה
רִמָּה,תולעת/ זחל/ תולעי ריקבון
רינון, •שירה/ זמרה •ריכול/ הוצאת דיבה 
רִנָּה,שירה/ רון/ זמר/ שמחה/ דיצה/ גילה
רִיף,שונית/ סלעי ים
רִצֵּד,הבהב/ מאיר לרגע/ מאיר לסירוגין (כמו תמונה מקוטעת של טלוויזיה)
רִצּוּי,•פיוס/ גרימת סיפוק (ריציתי את אימי והלכתי לבית הספר) •מילוי העונש (ריציתי את עונשי. הנאשם ריצה את עונשו וישב שלוש שנים בכלא שאטה)
רִיק,ואקום/ אין
רֵיקָא,פוחז/ עלוב/ פושטק!
