רִקּוּעַ,רידוד/ שיטוח. כמו מה שעושים לאלומיניום/ או לעטיפה של הקרמבו/ שמשטחים אותה להיות ישרה כמו דף נייר
רֵישָׁא,החלק הראשון. בניגוד לסיפא- החלק האחרון (שבא בסוף)
רך לב/מוג לב,פחדן •מורך לב- פחדנות (החייל נאשם בגילוי מורך לב בפני אוייב)
רְכִיב,חלק/ מרכיב
רַכִּיכָה,בעל חיים חסר חוליות (כמו צדפות) פחדן!
רָכַן,התכופף/ גחן/ גהר/ קד
רָכַס,סגר כפתור או רוכסן/ כיבן/ פרף כפתור
רֶכֶס,שרשרת הרים
רם דרג,בכיר/ חשוב
רמה קרנו,זכה להערכה
רְמִיסָה,דריסה של מישהו עם הרגליים/ בדריכה •כבודו נרמס- זלזלו בו/ פגעו בכבודו
רֶמֶץ,אפר חם/ שיירי גחלים שעדיין לא כבו לגמרי.
רֶמֶשׂ,שם כולל לחרקים וזוחלים
רַנְדּוֹמָלִי,אקראי/ מקרי
רֶנְטָבִּילִי,רווחי/ משתלם
רֶסִיטָל,קונצרט של סולן אחד
רֶסֶן,•רתמה לראש של בהמה •מגבלה/ משהו שמונע •ריסון- איפוק •התיר את הרסן- אפשר חופש מוחלט/ גרם להפקרות
רֵעַ,חבר/ ידיד/ עמית
רעבתן,גרגרן/ זללן (במובן הרע)
רעד כעלה/ כבד נידף,פחד מאוד
רעה בשדות זרים,פנה לאמונה או תרבות זרה/ בגד במקורביו/ התבולל
רעה חולה,בעיה מתמשכת/ צרה קבועה (השסע העדתי הוא מהרעות החולות של מדינתנו)
רְעָלָה,צעיף לכיסוי פנים •רעולי פנים- שפניהם מכוסות
רַף,•מדף/ אצטבה/ קורה •סף/ דרישה (רף הקבלה שהציבה החברה היה גבוה ביותר)
רָפֶה,חלש •רפה שכל- טמבל •נרפה- עצלן •ריפה את ידיו- יאש אותו/ הוציא לו את הרוח מהמפרשים
רַפְרֶפֶת,פודינג/ חביצה
