שְׁאוֹל,גיהנום/תופת
שָׁאוֹן,רעש/המולה •להקים שאון- לעשות רעש
שְׂאוֹר שֶׁבָּעִסָּה,החלק העיקרי/הרוח החיה (בתרגום מילולי זה השמרים שבבצק) 
שְׁאַט נֶפֶשׁ,גועל נפש/מיאוס/סלידה
שַׁאֲנָן,שלו/חסר דאגות,כמו ששאנן סטריט מהדג נחש תמיד חסר דאגות...
שְׁאֵר בָּשָׂר,קרוב משפחה
שְׁאַר רוּחַ,השראה/כושר יצירה
שארית הפלטה,השרידים שנותרו מקבוצה (נאמר על אלה ששרדו את השואה)
שב על כנו,חזר לקדמותו/חזר למצבו הרגיל
שְׁבָב,•רסיס/ריקושט/חלקיקים שעפים כשחוטבים עצים למשל •רכיב אלקטרוני במחשב (chip)
שֵׁבֶט,מקל/מלמד/ענף שמכים איתו •חוסך שבטו שונא בנו- מי שלא נותן פליק לילד שלו כדי לחנך אותו/בעצם פוגע בו יותר/ולכן שונא אותו •לשבט או לחסד- לרעה או לטובה/להחליט אם מישהו אשם או לא
שְׁבִיב,ניצוץ/זיק/שמץ •שביב של תקווה- עוד ממש מעט תקווה
שְׁבִיל הַזָּהָב,דרך הפשרה/מקום טוב באמצע ולא בקצוות
שביל הנחש,דרך עקלקלה ומפותלת
שְׁבִיס,כיסוי ראש של אישה
שבלוני,שגרתי/משעמם/כאילו נעשה בשבלונה
שְׂבַע ימים  ,קשיש/זקן/בא בימים (כבר שבע מרוב ימים שעברו עליו)
שְׂבַע רָצוֹן,מרוצה
שבעה מדורי גהנום,לעבור סבל רב
שִׁבְעָתַיִם,פי כמה וכמה יותר/הרבה יותר
שָׁבַק חַיִּים (לְכָל חַי),מת/זל/רחמנא ליצלן/מנוח/בר מינן/תהא מנוחתו עדן/עליו השלום/ירד דומה/ירד שחת/הלך בדרך כל בשר. 
שֶׁבֶר כְּלִי,אדם רצוץ ותשוש
שבּריה,פגיון/חרב קצרה/שֶׁלַח 
שַׁבְרִיר,שבר קטן/חלקיק (כמו שבריר שניה)
שברירי,משהו עדין מאוד/שעלול להישבר
שבשבת,נס הרוח (הדגל של הרוח)/כלי המראה את כיוון הרוח. 
שְׁגָגָה,טעות/שגיאה (תמיד אומרים שמשהו נעשה בשגגה)
