שַׂגִּיא/שגיב,עצום/כביר
שָׁגוּר,שוטף רהוט/נפוץ (כמו ביטוי שגור- ביטוי שמרבים להשתמש בו)
שִׁגְעוֹן גַּדְלוּת,הפרעה נפשית שגורמת לאדם לחשוב שהוא אישיות חשובה. נאמר הרבה פעמים על אנשים שחושבים את עצמם ומתיימרים להיות אנשים חשובים
שָׁדוּף,•מצומק ומיובש •כינוי לאדם רזה/שחיף
שְׁדֵמָה,חלקת אדמה/שדה/כרם
שְׂדֵרָה,•שורה של עצים בצד הדרך •רחוב עם שביל באמצע ועצים 
שה תמים,אדם שנראה תמים למראית עין/עושה עצמו תמים (מיתמם)(מילולית- שה שלם)
שׁוֹבִינִיזְם,מיננות/סקסיזם. התייחסות מזלזלת בנשים/כוחנות
שָׁוְא,לריק/סתם/לא באמת (אזעקת שווא)
שׁוֹבֵה [כּוֹבֵשׁ] לֵב,מקסים/מעלה רגשי חיבה כלפיו
משובב נפש,משמח/מהנה
שׁוֹבֶל,•שוליים (רוח מבדרת שובל שמלתה/ילדתי ברחוב עוברת ששתי לקראתה! הי עימדי/עימדי/עימדי נא! את יפת עיניים! בואי ואחזה בך- את יפה שלי)•עקבות שנותרות במים או באוויר
שוד ושבר!,אוי ואבוי! ויי זמיר!
שָׁוֶה לְכָל נֶפֶשׁ,מתאים לכל אחד 
שְׁוֵה נֶפֶשׁ,אדיש/אפתי (שלא משנה מה הוא רואה/הכל אותו דבר בעיניו)
שוזף עינו,מביט 
שׁוּחָה,בור/חפירה/תעלה (כמו אלה שלוחמים ישבו בהן במלחמת העולם הראשונה)
שׁוֹחֵר,חובב (כמו שוחר שלום/נוער שוחר מדע)
שׁוֹטְטוּת,הליכה ממקום למקום/בלי מעש
שוֹך,הרגעות/(כמו שוך הקרבות/שוך הסערה)
שׁוּלְיָה,חניך טירון/מתלמד (שוליית הקוסם)
שַׁמַּאי,מעריך/יועץ לענייני רכוש
שׂוּמָה עָלָיו (לעשות משהו) ,חובה עליו
שוֹע,עשיר/אריסטקרט/אציל/גביר/פרנס
שוועה,צעקה/קריאה לעזרה •שיווע- צעק לעזרה/היה זקוק מאוד למשהו (השבוי שיווע למים)
שוֹעט,דוהר/רץ כמו סוס
שוֹפי,בנחת/בזולא
