שׁוֹפִין,פצירה
שוּפרא דשופרא,מהטוב ביותר/הטוב מהטוב (שפיר זה טוב)
שׁוֹקֵק חַיִּים,מלא פעילות
שֹׁקֶת,כלי להשקיית בהמות •עמד בפני שוקת שבורה- נחל אכזבה (תחשבו על סוס שהלך כל הדרך אל השוקת וגילה שהיא שבורה)
שוּר!,הבט/הסתכל (שורו/הביטו וראו! מה גדול היום הזה!)
שָׂרַר,היה קיים/נמצא (המצב השורר בארץ)
שׁוֹשְׁבִין,חבר/בן לוויה המוביל את החתן או הכלה לחופה
שזירה,קליעת חוטים 
שַׁח,התכופף/רכן/גהר (אם גם ראשנו שח/ועצב סובבנו/הבה ונתלקח מן השמחה שבנו! הי/הי...) •שָׁחוּחַ - כפוף/מוטה מטה
שָׂח,דיבר/אמר משהו/ניהל שיחה (וואלה/מה אתה שח!)
שָׁחוּן,חם ויבש מאוד (שנה שחונה- שנה יבשה בלי מספיק גשם)	
שחור על גבי לבן,באופן מפורש/בצורה חד משמעית	
שָׁחוּק,בלוי/מרופט מרוב שימוש 	
שֹחוֹק,צחוק/גיכוך	
שַׁחַל,אריה/כפיר/ליש/לביא	
שחץ,שחצנות/יהירות	
שַׁחַק,שמיים (כמו גורד שחקים- בניין גבוה שמגרד את השמיים)	
שחקה לו השעה,הצליח/התמזל מזלו/הלך לו קלף מטורף	
שַׁחַר,•	מובן/פשר •שעות הבוקר שיש אור/לפני שהשמש זורחת •דברים חסרי שחר- דברים שאין להם כל בסיס או אחיזה במציאות.
שַׁחֲרִית,•שעות הבוקר המוקדמות •תפילת הבוקר (יש שחרית/מנחה וערבית)	
שַׁחַת,•	בור/חפירה •תבואה המשמשת מזון לבהמות •לחפש מחט בערימת שחת- לנסות לעשות משהו כמעט בלתי אפשרי/למצוא משהו קטן בתוך ערימה ענקית
שִׁיחֵת,קלקל/הרס/השחית •שיחת זמנו לריק- בזבז את זמנו	
שָׁטַח,פרס (כמו שטיח) •שטח בפניו את טענותיו- אמר לו את הטענות שלו	
שׁטם,שנא מאוד/חש משטמה	
שִׂטְנָה,דברי גנאי/שנאה עזה (מהמילה שטן)	
שי,מתנה/דורון/מתת/אשכר/תשורה	
שִׁיבּוּט,שכפול גנטי ( כמו הכבשה דולי המשובטת)
