שִׂיג וָשִׂיחַ,משא ומתן/חילופי דברים
שִׁגָּיוֹן,להיטות/גחמה/קפריזה
שידד,תיחח/פורר גושי אדמה/עבד עם משדדה (מכונה שהופכת גושי אדמה) •שִׁדּוּד מַעֲרָכוֹת - רפורמה כללית/שינוי מהיסוד
שִׁידָּה,ארון נמוך
שיהוי,דחייה/עיכוב/התמהמהות
שַׁוֵּה בְּנַפְשְׁךָ,תאר לעצמך/דמיין
שִׁוֵּעַ/ מְשַׁוֵּעַ,קורא לעזרה/דורש בדחיפות
שיכוך,ריכוך/הרגעה (כמו משכך כאבים) •שכך- נרגע/הוקל (כמו שהסערה שככה- הסתיימה/או שוך הקרבות- אחרי שהקרב הסתיים)
שִׂיכּוּל,הצלבה/חילוף במקום אחד עם השני (כמו שיכול רגליים- כשיושבים רגל על רגל)•שיכול אותיות- החלפת מקום בין אותיות (החפלת מוקם בין אתויות) לא להתבלבל עם סיכול- הכשלה/טרפוד
שיכור כלוט,שיכור עד כדי אובדן חושים,זה מה שאומרים לאמא בטלפון שבן לא שיכור קלות
שימצה,השמצה/גנאי/גינוי •ידוע לשימצה- ששמו הרע הולך לפניו
שינה טרופה,שינה גרועה/רדופת סיוטים/לא רציפה/ (בניגוד לשנת ישרים- שינה טובה)
שִׁינֵּס,חגר/אזר/התכונן/אסף כוחות •שינס מותניו- התכונן למלאכה
שיסה,גרם למישהו להתקיף (כמו שמשסים כלבים)
שִׁסֵּעַ,גזר/קרע/חתך/ביתק •שיסע לגזרים- קרע לחלקים קטנים •שיסע דבריו- קטע את דבריו/התפרץ לדבריו וקטע אותם
שִׁיסֵּף,שיסע/חתך/גזר (כמו לשסף גרון של מישהו)
שיעור מידה,כמות/גודל •שיעור קומה- גדלות/כריזמה/חשיבות 
שיפוי,פיצוי (פיצוי כספי על נזק שנגרם)
שִׁיפוֹן,אחד ממיני התבואה (כמו לחם שיפון)
שיקוץ,תועבה/דבר טמא/פיגולים/מיאוס
שייר/שיירים,מה שנותר/שאריות 
שֵׁרוּת דוב,מעשה עם כוונה טובה אך עם תוצאות מזיקות (דמיינו דוב שמנסה לעשות לכם מסאג')
שֵׁרֵשׁ,עקר מהשורש לשרש זה ההפך מלהשריש (לשרש זה לעקור מהשורש/ולהשריש זה להכות שורש/להתקבע/להחדיר ערכים)
שִׁירַת הַבַּרְבּוּר,מעשה מהולל אחרון לפני פרישה או מוות (כמו ברבור ששר/ואז צולל למים ומתאבד)
שכב עם אבותיו,מת/הלך בדרך כל בשר/בר מינן. 
שֶׂכְוִי,תרנגול/גבר (כן/זה גם שם לתרנגול)
שְׁכִיב מְרַע,גוסס/שוכב במצב רע/על ערש דווי
