שָׂם (אֶת) נַפְשׁוֹ בְּכַפּוֹ,לקח סיכון
שם פעמיו,הועיד פניו/יצא לדרך (פעם זה צעד/שעל/הוא שם את הצעדים שלו לאנשהו)
שֶׁמָּא,במקרה ש-/כדי שלא/פן/לבל/כלום? /האם? היזהר במשאלותיך שמא יתגשמו! 
שמאי,מעריך/יועץ להערכת מחירים
שְׁמוּרָה,•מקום שמור/שמשמרים אותו (כמו שמורת טבע) •שמורת עין- עפעף (מה ששומר על העין)
שמח בחלקו,אדם שמסתפק במה שיש לו, איזהו עשיר? השמח בחלקו. 
שִׂמְחָה לְאֵיד,הנאה מצרות של אחרים (איד- צרה)
שמחת עניים,נחמה פורתא/חצי נחמה
שְׁמִיטָּה,עזיבה/נטישה/הפלה (כמו כלב עם אוזניים שמוטות- נפולות). •שנת שמיטה- שנה בה לא עובדים את הקרקע. שומטים את היבול •מה עניין שמיטה להר סיני?- מה הקשר??? מה אתה מערבב שני נושאים לא קשורים?!
שמיר ושית,קוצים/שממה/מקום מוזנח ועזוב
שמיש,שניתן להשתמש בו
שממון,שממה/ריקנות/בדידות/דיכאון
שַׁמְנָהּ וְסָלְתָּהּ,החלק המובחר/האליטה/השכבה הגבוהה בחברה
שֶׁמֶץ,קצת/קמצוץ (כמו שאומרים אין לי שמץ- אין לי טיפת מושג)
שֶׁנְהָב,החומר ממנו עשויות שיני הפיל (החטים של הפיל)
שנון,חד/ממולח/חריף שכל
שָׁנִי,צבע אדום עז. נקרא גם תולע/בגלל שהוא עשוי מתולעים. •חוט השני- תכונה יסודית/הקו המרכזי/המוטיב החוזר (מילולית זה חוט אדום)
שניות,כפילות/דואליות
שנינה, •אמירה עוקצנית ומתחכמת •לעג/זלזול (היה למשל ושנינה- לעגו לו/הסתלבטו עליו/היה ללעג ולקלס)
שינס מותניו,אסף כוחות ויצא לעבודה
שֶׁנֶף,וניל
שנץ,סרט או חוט המשמש לקשירה. שוונץ
שנת ישרים,שינה טובה/בלי נדודי שינה
שנתות,קווקווים שיש על כלי/כדי לאמוד מידה. 
שֶׁסַע,קרע/בקע •חברה משוסעת- חברה מפולגת/לא אחידה
שָׁעָה,הקשיב למשהו (שעה לעצתו- הקשיב לעצתו)
שעה ארוכה,זמן ארוך
