שרבוב,•הכנסה של משהו בטעות לא למקומו. (כמו מילה שמשתרבבת חתול לטקסט- המילה חתול השתרבבה לי...)•הושטה של איבר (אסור לשרבב ידיים מחוץ לרכב!)	
שִׁרְבּוּט,קשקוש/כתיבה סתם	
שַׁרְבִיט,מקל של מלך	
שְׂרָד,פקידות (עבודה במשרד)•בגדי שרד- מדים
שרוי,נמצא במצב מסויים (כמו שרוי בדכאון)
שִׂרְטוֹן,גבעה מתחת לים •עלה על שרטון- נתקל במכשולים/הגיע למבוי סתום (כמו הטיטאניק/שעלתה על שרטון)
שָׂרִיג,ענף של צמח/זלזל/שבכה/קנוקנת/ענף של גפן.
שבכה,סורג/גדר/רשת/סְבָכָה
שָׁרִיר וְקַיָּם,ודאי/בעל תוקף. קיים ועומד. (כמו מה שהרב אומר אחרי הקראת הכתובה- והכול שריר וקיים ואמת ויציב)
שְׁרִירוּתִי,מקרי/אקראי/בלי התחשבות במצב הקיים (המורה חילק את הכיתה לקבוצות בצורה שרירותית- יעני/בלי לחשב מי רוצה להיות עם מי).
שרירות לב,עקשנות/קשיחות
שָׁרָךְ,סוג של צמח מטפס (הענפים שלו נראים כמו שרוכים)
שַׁרְלָטָן,נוכל/רמאי
שרמנטי,מקסים/שובה לב/סטייל ביבי נתניהו או יאיר לפיד
שַׂרְעַפִּים,מחשבות/הרהורים
שְׂרָף,החומר הדביק שניגר מחתך בעץ. ענבר 
שָׂרָף,מלאך אני ולא שרף(אלוהים אומר ביציאת מצרים)
שְׂרָרָה,שלטון •רודף שררה- אדם שרודף אחרי השלטון/להוט אחרי כוח.
שָׂשׂוֹן,שמחה/דיצה/גילה/רינה/אורה.
שָׂשׂ,בא לעשות משהו בשמחה •שש אלי קרב- שמח להלחם.
שֵׁת,אחוריים/תחת
שת,שם הניח •שת ליבו אל- שם לב למשהו
שֹתוּם עין,עיוור בעין אחת/שחסרה לו עין.
שְׁתִי וָעֵרֶב,לאורך ולרוחב/בצורה שמכסה הכל (סרקנו אחריו בכל העיר שתי וערב/ולא מצאנוהו)
שתת,ניגר/נשפך/זב/נזל/זלג. •שותת דם- שהדם ניגר ממנו/מדמם.
שפרה,יופי/חן
שׁפעים,שבבים שעפים בניסור של עץ.
