תּוּפִין,עוגיה/ רקיק/ ביסקוויט/ צפיחית/ מגד (משהו מתוק)/ מיני תרגימא
תּוֹפֶת,•גיהנום/ שאול •מוקד (איפה ששורפים כופרים) •מלכודת (כמו מכונית תופת)
תּוֹר,•תקופה/ עידן (תור הזהב- תקופה טובה/ ימי הזוהר) •סוג של יונה
תּורְפָּה,חולשה (מהמילה רפוי)•נקודת תורפה- נקודת חולשה/ עקב אכילס
תּוּשִׁיָּה,חכמה/ כושר המצאה ואלתור
תֶּזָה,הנחת יסוד •אנטיתזה- הנחה הסותרת את הנחת היסוד. הדבר ההפוך למשהו
תְּזָזִית,טירוף/ שיגעון/ אמוק •אחוז תזזית- היסטרי/ מישהו באמוק שלא נח לרגע 
תַּחְבּוּלָה,תכסיס/ טריק לטכס  
תִּחוּחַ,הפרדת גושים של אדמה כדי שיהיה אפשר לזרוע,(אין קיבוצניק שלא עבד עם מתחחת מתישהו)
תְּחוּלָה,המועד בו נכנס חוק מסויים לתוקף/ שהוא חל בו. 
תָּחוּם,מוגדר/ מוגבל/ שיש לו תחום
תְּחִיבָה,הכנסה/ החדרה של משהו בתוך משהו אחר,כמו שתוחבים את החולצה בתוך המכנסיים
תְּחִינָּה,בקשת רחמים/ תחנונים,בבקשה שים לי קצת תחינה על הפלאפל! (שזה טחינה לדיסלקטים)
תְּחִיקָּה,חקיקה של חוקים. חקיקה. 
תַּחְלוּאִים,•מחלה/ פגע/ נגע/ דווי •בעיות כרוניות שחברה סובלת מהן
תַּחְלִיב,אמולסיה/ תערובת של נוזלים
תַּחְרִיט,תגליף/ יצירה שחרוטה על משטח עץ או אבן
תַּחְשִׁיב,הערכה/ סיכום הוצאות/ תחזית
תַּחַת,•ישבן (וואלה/ טוב שלמדתם את המילון...) •במקום (רציתי להכין שיעורים/ תחת  את הלכתי לישון) •כפוף למישהו
תֵּאוֹלוֹגְיָה,פילוסופיה של הדת  (מה טיבו של ישו לדוגמא/ האם הוא היה אדם או אל...)
תֵּאוֹקְרַטְיָה,שלטון בידי אנשי הדת (כמו איראן)
תִּבּוּל,•הוספת תבלינים •הוספת פתגמים ומשפטים לדברים (הוא תיבל דבריו באמרות שפר)
תֵּבַת פַּנְדּוֹרָה,קופת שרצים/ שד בבקבוק/ דבר שנראה תמים מבחוץ/ אבל כשפותחים אותו יש צרות
קְרִיאַת תִּגָּר,ערעור/ התרסה
תִּיכוֹן,אמצעי/ שנמצא באמצע (כמו בי"ס תיכון/ המזרח התיכון/ תיכון במשולש...)
תִּימְרוֹת עָשָׁן,עמודי עשן שעולים (מתמרים) למעלה
תִּנָּה,•סיפר/ תיאר (הוא תינה באוזניי את שארע לו) •קונן/ ספד
