תִּנָּה אהבים,התעלס/ עשה אהבה
תִּעֵב,שנא מאוד/ שטם/ חש מיאוס
תִּיעוּל,הפנייה לאפיקים רצויים (כדאי שתתעל את הכעס שלך...)
תִּיתּוֹרָה,שוליים (כמו שיש בכובעים)	 
תְּכוּלָה,קיבולת/ תוכן
תְּכוּנָה,פעילות •מלא תכונה- שוקק חיים/ פעיל/ אקטיבי
תְּכָכִים,מזימות/ סכסוכים
תכלית,מטרה •בתכלית- לגמרי/ לחלוטין (כמו "שונה בתכלית")
תכפו,נעשו יותר ויותר תכופים/ כמו שהצירים של אישה יולדת נעשים יותר ויותר סמוכים זה לזה
תַּכְרִיכים,בדים שעוטפים בהם את גופת המת לפני הקבורה
תִּכְתֹּבֶת,התכתבות/ החלפת מכתבים/ קורספונדנציה
תַּכְתִּיב,אילוץ/ כפייה לפעול בדרך מסויימת,על ישראל להפסיק לפעול לפי התכתיבים האמריקאיים בנושא. 
תֵּל,גבעה מלאכותית/ ערמה •תלי תלים- ערמות על ערמות/ יעני המון •תלולית- ערמה קטנה/ תל קטן
תלאות,קשיים/ סבל/ מצוקה,לכן יש את הסיפור על עליזה בארץ התלאות
תלה את הקולר בצווארו,האשים אותו/ תלה בו את האשמה 
נתלה באילן גדול,ביסס את דבריו על מישהו בעל סמכות
תָּלוּי וְעוֹמֵד,בלתי מוכרע/ מוטל בספק
תָּלוּי עַל בְּלִימָה,חסר אחיזה במציאות/ חסר בסיס (בלימה- בלי- מה/ זאת אומרת בלי משהו. תלוי על כלום/ באוויר)
תְּלִי,•תיק לחצים/ אשפה •קולב
תֶּלֶם,חריץ באדמה שמשאירה מחרשה •הולך בתלם- קונפורמיסט/ מי שמתנהג לפי המקובל ולא מורד במוסכמות
תַּם,נשלם/ נגמר
תָּם,• תמים/ נאיבי •שלם/ מלא
תְּמוֹכָה,משענת/ מסעד/ סמוכה
תִּמְהוֹנִי,אדם מוזר/ weirdo
תִּמּוּכִין,גיבוי/ תמיכה (הביא תימוכין לדבריו- הביא גיבוי למה שהוא אמר)
תְּמוּרָה,• משהו במקום משהו אחר (מה תיתן לי בתמורה?) •שינוי
