תִּמְחוּר,קביעת מחיר של מוצר
תְּמִימוּת דֵּעִים,הסכמה/ קונצנזוס
תָּמִיר,גבוה (כמו עץ תמר)אל תבלבלו עם טמיר- נעלם
תַּמְלוּגִים,רווח שמקבלים על זכויות (על פטנט/ שיר וכד'). שכר סופרים
תַּמְלִיל,מילים שיר/ נוסח המילים ביצירה מוסיקלית
תִּמְסָח,תנין/ קרוקודיל,איך מבקשים מתנין לשים ביס במרוקאית? תמסח! 
תַּמְרוּקים,מוצרי קוסמטיקה וטיפוח
בכי תמרורים,בכי גדול ומר,תנסו להיכשל בטסט בגלל תמרורים וזה יגרום לכם ממש לבכות
תְּנוּבָה,יבול/ תוצרת/ פרי
תנודה,תנועה קלה/ תזוזה
תַּסְכִּית,יצירה דרמטית המשודרת ברדיו
תַּסְמִין,סימפטום/ סימן שמזהים באמצעותו מחלה
תעודת עניות,אות קלון. מעשה המבזה את עושהו
תְּעוּקָה,מועקה/ לחץ
תַּעֲנִית,צום/ שמענים את הנפש (כמו תענית אסתר)
תַּעֲצוּמָה,כוח/ עוצמה פנימית •תעצומות הנפש- הכוחות החזקים החבויים בנפש אדם
תער,סכין גילוח •חד כתער- שנון/ חריף מחשבה
תַּעֲרִיף,מחיר/ שווי/ ערך,הידעתם שהמילה האנגלית לתעריף היא tariff ?
תַּעְתּוּעַ,הטעיה/ אחיזת עיניים
תְּפוּקָה,תוצרת/ תוצאת הייצור
תָּפֵל,חסר טעם (כמו שהתפלת מי ים זה הוצאת הטעם מהם) לא להתבלבל עם טפל- שאינו עיקרי (טפיל/ שולי)
תפנית,שינוי משמעותי
תִפרחת,קבוצת פרחים יחד
תפס/אחז את השור בקרניו,ניגש ישר ולעניין/ נכנס לעובי הקורה
תַּקְדִּים,מקרה שיש בו חידוש ופועלים לפיו (כמו בבית משפט)
תָּקַע יָתֵד,התיישב/ השתקע/ קנה שביתה
