תקע כף,לחץ יד כסימן להתחייבות 
תקע טריז,הפריד
תֵקֶר,פנצ'ר/ נקר
תִקרוֹבת,כיבוד
תר,סייר/ חיפש/ חקר •תר אחר לבבו- הלך אחרי היצר שלו
תרבּית,מושבה של חיידקים שגודלו באופן מלאכותי
תרגימא,דברים מתוקים/ מגדים
תרווד,כף גדולה לבחישת תבשיל
תרבּיך,תבשיל בשר וירקות/ רגו
תרומי,נעלה/ מובחר 
תרחיש,תסריט/ תיאור של התפחות אפשרית של אירוע
תרֵיסר,12 (תרי=שניים/ כמו דזבין אבא בתרי זוזי/ וסר זה עשר)
תרעוֹמת,כעס/ טרוניה/ זעם 
תרפּיה,טיפול/ ריפוי
תרשיש,סוג של אבן טובה
תַרתֶי,שניים/ דו •תרתי משמע- בעל שני מובנים/ באופן דו משמעי •תרתי דסתרי- שני דברים שסותרים אחד את השני
תָש,נחלש/ התעייף/ הפך לתשוש
תְּשׂוּאָה,רווח או הכנסה מהשקעה
תְּשׁוּאוֹת,מחיאות כפיים •קצר תשואות- זכה למחיאות כפיים/ כה לקולות תמיכה
תשובה נחרצת,תשובה מכרעת שאין מה להמשיך ולהתווכח אחריה
תְּשׁוּרָה,מתנה/ שי/ אשכר/ דורון/ מתת •תשר- טיפ
תִּשְׁחֹרֶת,נעורים (כשהשיער עוד בצבע שחור ולא נעשה שיבה)
תַּשְׁלִיל,סרט צילום/ נגטיב
תַּשְׁקִיף,תחזית 
תשתית,בסיס/ יסוד
תַּתְרָן,חסר חוש ריח,זה מריח כמו.... סוף המילון!
